#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   191602   191658      +    no    1 0.37   0.0   66.8   2.5e-09 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_AMYT01000011.1    -         Sodium               RF03071    cm        1       55    29757    29801      +    no    1 0.47   0.0   39.3     0.026 ?   Catellicoccus marimammalium M35/04/3 contig00011, whole genome shotgun sequence
NZ_ASWO01000007.1    -         Sodium               RF03071    cm        1       55    12573    12527      -    no    1 0.53   0.0   39.0     0.031 ?   Enterococcus sulfureus ATCC 49903 acyDF-supercont2.7, whole genome shotgun sequence
NZ_BJDN01000022.1    -         Sodium               RF03071    cm        1       55    29498    29452      -    no    1 0.55   0.0   39.0     0.032 ?   Loigolactobacillus binensis strain 735-2 scaffold22, whole genome shotgun sequence
NZ_RHOE01000095.1    -         Sodium               RF03071    cm        1       55     5055     5101      +    no    1 0.55   0.0   39.0     0.032 ?   Loigolactobacillus zhaoyuanensis strain 187-3 contig95, whole genome shotgun sequence
NZ_MAEI01000012.1    -         Sodium               RF03071    cm        1       55     8592     8640      +    no    1 0.47   0.0   38.9     0.033 ?   Enterococcus diestrammenae strain JM9A 9A_contig_2, whole genome shotgun sequence
NZ_FSRN01000001.1    -         Sodium               RF03071    cm        1       55  1427110  1427158      +    no    1 0.45   0.0   38.8     0.037 ?   Carnobacterium alterfunditum strain 313, whole genome shotgun sequence
NZ_CP038865.1        -         Sodium               RF03071    cm        1       55   120093   120139      +    no    1 0.47   0.0   38.7     0.038 ?   Vagococcus xieshaowenii strain CF-49 chromosome, complete genome
NZ_BJYB01000038.1    -         Sodium               RF03071    cm        1       55     8101     8147      +    no    1 0.47   0.0   38.7     0.039 ?   Ligilactobacillus pobuzihii strain NBRC 103219 sequence38, whole genome shotgun sequence
NZ_AYYI01000042.1    -         Sodium               RF03071    cm        1       55    47070    47024      -    no    1 0.55   0.0   38.6     0.039 ?   Loigolactobacillus rennini DSM 20253 NODE_44, whole genome shotgun sequence
NZ_ATXL01000028.1    -         Sodium               RF03071    cm        1       55    23019    23064      +    no    1 0.57   0.0   38.6     0.041 ?   Bavariicoccus seileri WCC 4188 strain DSM 19936 H541DRAFT_scaffold00028.28_C, whole genome shotgun sequence
NZ_OAOG01000010.1    -         Sodium               RF03071    cm        1       55    31307    31259      -    no    1 0.43   0.0   38.3     0.048 ?   Anaerocolumna aminovalerica isolate src1, whole genome shotgun sequence
NZ_CP044499.1        -         Sodium               RF03071    cm        1       55   494615   494568      -    no    1 0.48   0.0   38.0     0.059 ?   Lapidilactobacillus dextrinicus strain LH506 chromosome, complete genome
NZ_BCPY01000009.1    -         Sodium               RF03071    cm        1       55    16815    16860      +    no    1 0.48   0.0   37.9      0.06 ?   Tetragenococcus solitarius NBRC 100494, whole genome shotgun sequence
NZ_CP017996.1        -         Sodium               RF03071    cm        1       55  2090601  2090648      +    no    1 0.46   0.0   37.6     0.071 ?   Companilactobacillus crustorum strain MN047 chromosome, complete genome
NZ_RHOH01000001.1    -         Sodium               RF03071    cm        1       55   302384   302341      -    no    1 0.55   0.0   37.6     0.072 ?   Lacticaseibacillus daqingensis strain 143-4(a) contig1, whole genome shotgun sequence
NZ_NGKA01000014.1    -         Sodium               RF03071    cm        1       55    68234    68188      -    no    1 0.49   0.0   37.5     0.077 ?   Vagococcus elongatus strain CCUG 51432 14, whole genome shotgun sequence
NZ_JADNIV010000019.1 -         Sodium               RF03071    cm        1       55    42065    42129      +    no    1 0.42   0.0   37.4     0.081 ?   Clostridium jeddahense strain 1001270B_150601_B10 NODE_19_length_72489_cov_50.3641, whole genome shotgun sequence
NZ_JAFLRH010000015.1 -         Sodium               RF03071    cm        1       55    20152    20207      +    no    1 0.45   0.0   37.0       0.1 ?   Paradesulfitobacterium ferrireducens strain PLL0 L1_ctg0006, whole genome shotgun sequence
NZ_CP017713.1        -         Sodium               RF03071    cm        1       55  2411912  2411866      -    no    1 0.57   0.0   37.0       0.1 ?   Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 chromosome, complete genome
NZ_FUXI01000001.1    -         Sodium               RF03071    cm        1       55    90096    90052      -    no    1 0.49   0.0   37.0      0.11 ?   Pilibacter termitis strain ATCC BAA-1030, whole genome shotgun sequence
NZ_QWDI01000009.1    -         Sodium               RF03071    cm        1       55    25706    25661      -    no    1 0.46   0.0   36.9      0.11 ?   Companilactobacillus formosensis strain S215 Scaffold9, whole genome shotgun sequence
NZ_FNVY01000003.1    -         Sodium               RF03071    cm        1       55   345688   345738      +    no    1 0.47   0.0   36.7      0.13 ?   Enterococcus timonensis strain Marseille-P2817T, whole genome shotgun sequence
NZ_CP065637.1        -         Sodium               RF03071    cm        1       55  1429964  1429920      -    no    1 0.56   0.0   36.6      0.13 ?   Lactococcus garvieae strain FDAARGOS_929 chromosome, complete genome
NZ_BOVP01000004.1    -         Sodium               RF03071    cm        1       55   244656   244612      -    no    1 0.56   0.0   36.6      0.13 ?   Lactococcus formosensis strain NBRC 109475 contig4, whole genome shotgun sequence
NZ_QSNN01000009.1    -         Sodium               RF03071    cm        1       55     4805     4761      -    no    1 0.56   0.0   36.6      0.13 ?   Lactococcus petauri strain RJAA.1 RJAA.1_contig_9, whole genome shotgun sequence
NZ_BCPY01000026.1    -         Sodium               RF03071    cm        1       55    29307    29262      -    no    1 0.50   0.0   36.6      0.13 ?   Tetragenococcus solitarius NBRC 100494, whole genome shotgun sequence
NZ_NGKC01000012.1    -         Sodium               RF03071    cm        1       55    24658    24703      +    no    1 0.48   0.0   35.9       0.2 ?   Vagococcus acidifermentans strain LMG 24798 12, whole genome shotgun sequence
NZ_ASVU01000002.1    -         Sodium               RF03071    cm        1       55   450419   450467      +    no    1 0.47   0.0   35.7      0.23 ?   Enterococcus asini ATCC 700915 acOtD-supercont2.2, whole genome shotgun sequence
NC_013216.1          -         Sodium               RF03071    cm        1       55   623238   623303      +    no    1 0.45   0.0   35.6      0.23 ?   Desulfofarcimen acetoxidans DSM 771, complete sequence
NZ_RHOI01000006.1    -         Sodium               RF03071    cm        1       55    30280    30239      -    no    1 0.62   0.0   35.6      0.23 ?   Lacticaseibacillus baoqingensis strain 47-3 contig6, whole genome shotgun sequence
NZ_JABZEC010000002.1 -         Sodium               RF03071    cm        1       55   117348   117395      +    no    1 0.48   0.0   35.6      0.24 ?   Bombilactobacillus apium strain DCY120 contig2, whole genome shotgun sequence
NZ_JAGGLL010000031.1 -         Sodium               RF03071    cm        1       55    18145    18090      -    no    1 0.46   0.0   35.2      0.29 ?   Clostridium punense strain DSM 28650 Ga0454145_31, whole genome shotgun sequence
NZ_JXJW01000014.1    -         Sodium               RF03071    cm        1       55    31530    31575      +    no    1 0.48   0.0   35.2       0.3 ?   Lactococcus piscium strain DSM 6634 Scaffold14, whole genome shotgun sequence
NZ_CP017194.1        -         Sodium               RF03071    cm        1       55  1294345  1294390      +    no    1 0.48   0.0   35.2       0.3 ?   Lactococcus carnosus strain TMW 2.1612 chromosome, complete genome
NZ_CP017195.1        -         Sodium               RF03071    cm        1       55  1349278  1349323      +    no    1 0.48   0.0   35.2       0.3 ?   Lactococcus paracarnosus strain TMW 2.1615 chromosome, complete genome
NZ_BCVM01000027.1    -         Sodium               RF03071    cm        1       55     2082     2037      -    no    1 0.48   0.0   35.2       0.3 ?   Lactococcus plantarum NBRC 100936, whole genome shotgun sequence
NZ_FXLN01000004.1    -         Sodium               RF03071    cm        1       55    58999    59062      +    no    1 0.41   0.1   35.2      0.31 ?   Clostridium merdae strain Marseille-P2953, whole genome shotgun sequence
NZ_KB944666.1        -         Sodium               RF03071    cm        1       55   512344   512394      +    no    1 0.47   0.0   35.1      0.31 ?   Enterococcus faecalis EnGen0336 strain T5 acAro-supercont1.1, whole genome shotgun sequence
NZ_OEQH01000001.1    -         Sodium               RF03071    cm        1       55   470559   470627      +    no    1 0.41   0.2   35.1      0.32 ?   Clostridium minihomine strain Marseille-P4642, whole genome shotgun sequence
NZ_LHUG01000001.1    -         Sodium               RF03071    cm        1       55     8802     8850      +    no    1 0.49   0.0   35.0      0.33 ?   Enterococcus canintestini strain 49 E49_contig_1, whole genome shotgun sequence
NZ_KE136354.1        -         Sodium               RF03071    cm        1       55   884902   884854      -    no    1 0.49   0.0   35.0      0.33 ?   Enterococcus dispar ATCC 51266 acpMG-supercont1.1, whole genome shotgun sequence
NZ_AP022822.1        -         Sodium               RF03071    cm        1       55  1314236  1314284      +    no    1 0.49   0.0   35.0      0.33 ?   Enterococcus saigonensis strain VE80 chromosome, complete genome
NZ_CP017702.1        -         Sodium               RF03071    cm        1       55   251613   251568      -    no    1 0.48   0.0   35.0      0.34 ?   Companilactobacillus farciminis KCTC 3681 = DSM 20184 chromosome, complete genome
NZ_CP040736.1        -         Sodium               RF03071    cm        1       55   167586   167541      -    no    1 0.48   0.0   35.0      0.34 ?   Companilactobacillus futsaii strain Y97 chromosome, complete genome
NZ_CP049366.1        -         Sodium               RF03071    cm        1       55  2363377  2363332      -    no    1 0.48   0.0   35.0      0.34 ?   Companilactobacillus pabuli strain NFFJ11 chromosome, complete genome
NZ_JQCD01000024.1    -         Sodium               RF03071    cm        1       55   136729   136772      +    no    1 0.50   0.0   34.7      0.39 ?   Weissella minor strain DSM 20014 NODE_113, whole genome shotgun sequence
NZ_PXZH01000001.1    -         Sodium               RF03071    cm        1       55   126265   126314      +    no    1 0.54   0.0   34.6      0.43 ?   Vagococcus humatus strain JCM 31581 1, whole genome shotgun sequence
NZ_BJVG01000001.1    -         Sodium               RF03071    cm        1       55    89317    89363      +    no    1 0.43   0.0   34.6      0.44 ?   Lapidilactobacillus concavus strain NBRC 106101 sequence001, whole genome shotgun sequence
NZ_RHOW01000015.1    -         Sodium               RF03071    cm        1       55    39107    39153      +    no    1 0.43   0.0   34.6      0.44 ?   Lapidilactobacillus mulanensis strain 143-6 contig15, whole genome shotgun sequence
NZ_CP048649.1        -         Sodium               RF03071    cm        1       55  2893722  2893670      -    no    1 0.43   0.0   34.0      0.61 ?   Aminipila butyrica strain DSM 103574 chromosome, complete genome
NZ_AZCZ01000009.1    -         Sodium               RF03071    cm        1       55    70045    70093      +    no    1 0.49   0.0   33.5       0.8 ?   Levilactobacillus parabrevis ATCC 53295 Scaffold9, whole genome shotgun sequence
NZ_JAFBEO010000002.1 -         Sodium               RF03071    cm        1       55   116414   116371      -    no    1 0.43   0.0   33.2      0.99 ?   Weissella uvarum strain DSM 28060 Ga0454057_02, whole genome shotgun sequence
NZ_AYYO01000050.1    -         Sodium               RF03071    cm        1       55    56450    56496      +    no    1 0.55   0.0   33.1         1 ?   Lacticaseibacillus sharpeae JCM 1186 = DSM 20505 NODE_90, whole genome shotgun sequence
NZ_JAFLRH010000015.1 -         Sodium               RF03071    cm        1       55    20321    20378      +    no    1 0.48   0.0   32.9       1.1 ?   Paradesulfitobacterium ferrireducens strain PLL0 L1_ctg0006, whole genome shotgun sequence
NZ_FOJI01000002.1    -         Sodium               RF03071    cm        1       55   422535   422587      +    no    1 0.40   0.0   32.9       1.2 ?   [Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence
NZ_RHNR01000042.1    -         Sodium               RF03071    cm        1       55    20705    20748      +    no    1 0.45   0.0   32.8       1.2 ?   Lacticaseibacillus songhuajiangensis strain 7-19 contig42, whole genome shotgun sequence
NZ_RHOX01000002.1    -         Sodium               RF03071    cm        1       55   138502   138459      -    no    1 0.45   0.0   32.8       1.2 ?   Lapidilactobacillus bayanensis strain 54-5 contig2, whole genome shotgun sequence
NZ_RHOG01000042.1    -         Sodium               RF03071    cm        1       55     4462     4505      +    no    1 0.45   0.0   32.8       1.2 ?   Lacticaseibacillus yichunensis strain 33-1 contig42, whole genome shotgun sequence
NZ_BOLV01000003.1    -         Sodium               RF03071    cm        1       55   113293   113250      -    no    1 0.45   0.0   32.8       1.2 ?   Lacticaseibacillus suilingensis strain ZW152 contig3, whole genome shotgun sequence
NZ_FRAC01000009.1    -         Sodium               RF03071    cm        1       55   346252   346304      +    no    1 0.57   0.0   32.8       1.2 ?   Anaerocolumna jejuensis DSM 15929, whole genome shotgun sequence
NZ_BJYB01000038.1    -         Sodium               RF03071    cm        1       55     6748     6796      +    no    1 0.43   0.0   32.4       1.6 ?   Ligilactobacillus pobuzihii strain NBRC 103219 sequence38, whole genome shotgun sequence
NZ_KQ034021.1        -         Sodium               RF03071    cm        1       55   523220   523170      -    no    1 0.41   0.0   32.3       1.6 ?   Lactobacillus melliventris strain Hma8 Hma8_scaffold3, whole genome shotgun sequence
NZ_SDGL01000002.1    -         Sodium               RF03071    cm        1       55   116110   116065      -    no    1 0.48   0.0   32.2       1.7 ?   Lactobacillus mulieris strain c10Ua161M c10Ua-161p_2, whole genome shotgun sequence
NZ_AZFS01000061.1    -         Sodium               RF03071    cm        1       55   231849   231801      -    no    1 0.53   0.0   32.2       1.7 ?   Levilactobacillus hammesii DSM 16381 NODE_167, whole genome shotgun sequence
NZ_JABEKX010000001.1 -         Sodium               RF03071    cm        1       55   287865   287821      -    no    1 0.56   0.0   32.1       1.9 ?   Lacticaseibacillus absianus strain YH-lac23 contig1, whole genome shotgun sequence
NZ_CP027786.1        -         Sodium               RF03071    cm        1       55   457763   457810      +    no    1 0.44   0.0   32.0       1.9 ?   Tetragenococcus koreensis strain KCTC 3924 chromosome, complete genome
NZ_RHNZ01000007.1    -         Sodium               RF03071    cm        1       55    97793    97745      -    no    1 0.51   0.0   31.9       2.2 ?   Levilactobacillus fuyuanensis strain 244-4 contig7, whole genome shotgun sequence
NZ_JAFBDN010000009.1 -         Sodium               RF03071    cm        1       55    14799    14848      +    no    1 0.38   0.0   31.7       2.3 ?   Weissella beninensis strain DSM 22752 Ga0454026_09, whole genome shotgun sequence
NZ_CP021467.1        -         Sodium               RF03071    cm        1       55   169182   169135      -    no    1 0.60   0.0   31.5       2.6 ?   Komagataeibacter europaeus strain SRCM101446 chromosome, complete genome
NZ_BLLH01000003.1    -         Sodium               RF03071    cm        1       55    95376    95331      -    no    1 0.52   0.0   31.5       2.7 ?   Lactococcus insecticola strain Hs20B0-1 sequence03, whole genome shotgun sequence
NZ_RKLX01000003.1    -         Sodium               RF03071    cm        1       55    98167    98215      +    no    1 0.53   0.0   31.3       2.9 ?   Levilactobacillus suantsaiihabitans strain BCRC 81129 Scaffold3_1, whole genome shotgun sequence
NZ_FQXU01000016.1    -         Sodium               RF03071    cm        1       55    21812    21760      -    no    1 0.57   0.0   31.3       2.9 ?   Clostridium intestinale DSM 6191, whole genome shotgun sequence
NZ_RHNW01000004.1    -         Sodium               RF03071    cm        1       55   102412   102460      +    no    1 0.55   0.0   31.2       3.1 ?   Levilactobacillus mulengensis strain 112-3 contig4, whole genome shotgun sequence
NZ_BOLN01000001.1    -         Sodium               RF03071    cm        1       55    83888    83840      -    no    1 0.55   0.0   31.2       3.1 ?   Levilactobacillus lanxiensis strain 13B17 contig1, whole genome shotgun sequence
NZ_FRDN01000004.1    -         Sodium               RF03071    cm        1       55   641617   641564      -    no    1 0.41   0.0   31.2       3.1 ?   Desulfitobacterium chlororespirans DSM 11544, whole genome shotgun sequence
NZ_SLUN01000005.1    -         Sodium               RF03071    cm        1       55   229854   229802      -    no    1 0.60   0.0   31.2       3.2 ?   Hydrogenispora ethanolica strain LX-B Ga0244694_1005, whole genome shotgun sequence
NZ_ATXL01000055.1    -         Sodium               RF03071    cm        1       55      429      481      +    no    1 0.53   0.0   30.9       3.7 ?   Bavariicoccus seileri WCC 4188 strain DSM 19936 H541DRAFT_scaffold00055.55_C, whole genome shotgun sequence
NZ_BJDZ01000070.1    -         Sodium               RF03071    cm        1       55      205      253      +    no    1 0.47   0.0   30.9       3.8 ?   Lactiplantibacillus plajomi strain NBRC 107333 scaffold70, whole genome shotgun sequence
NZ_ATUU01000001.1    -         Sodium               RF03071    cm        1       55   333882   333840      -    no    1 0.49   0.0   30.8       3.9 ?   Weissella halotolerans DSM 20190 G414DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_CP049740.1        -         Sodium               RF03071    cm        1       55  1121962  1122007      +    no    1 0.50   0.0   30.8       4.1 ?   Jeotgalibaca arthritidis strain CECT 9157 chromosome, complete genome
NZ_SLUI01000001.1    -         Sodium               RF03071    cm        1       55   346747   346695      -    no    1 0.57   0.0   30.7       4.2 ?   Anaerospora hongkongensis strain DSM 15969 Ga0310510_101, whole genome shotgun sequence
NZ_JXKT01000007.1    -         Sodium               RF03071    cm        1       55    10935    10889      -    no    1 0.55   0.0   30.7       4.4 ?   Enterococcus italicus DSM 15952 Scaffold7, whole genome shotgun sequence
NZ_AWTT01000029.1    -         Sodium               RF03071    cm        1       55    20372    20324      -    no    1 0.49   0.0   30.6       4.5 ?   Paucilactobacillus wasatchensis strain WDC04 contig00029, whole genome shotgun sequence
NZ_RHOF01000091.1    -         Sodium               RF03071    cm        1       55     5379     5427      +    no    1 0.49   0.0   30.6       4.5 ?   Loigolactobacillus jiayinensis strain 257-1 contig91, whole genome shotgun sequence
NZ_BJDM01000002.1    -         Sodium               RF03071    cm        1       55    75226    75274      +    no    1 0.49   0.0   30.6       4.5 ?   Paucilactobacillus kaifaensis strain 778-3 contig2, whole genome shotgun sequence
NZ_JQAZ01000003.1    -         Sodium               RF03071    cm        1       55   229257   229305      +    no    1 0.45   0.0   30.6       4.6 ?   Lactobacillus selangorensis strain DSM 13344 Scaffold3, whole genome shotgun sequence
NZ_FNHB01000001.1    -         Sodium               RF03071    cm        1       55  1132419  1132367      -    no    1 0.55   0.0   30.5       4.9 ?   Dendrosporobacter quercicolus strain DSM 1736, whole genome shotgun sequence
NZ_NGJZ01000005.1    -         Sodium               RF03071    cm        1       55    84343    84386      +    no    1 0.57   0.0   30.4       5.2 ?   Vagococcus entomophilus strain DSM 24756 5, whole genome shotgun sequence
NZ_BBWU01000016.1    -         Sodium               RF03071    cm        1       55   115940   115983      +    no    1 0.70   0.0   30.3       5.4 ?   Sphingomonas changbaiensis NBRC 104936, whole genome shotgun sequence
NC_011830.1          -         Sodium               RF03071    cm        1       55  1711279  1711331      +    no    1 0.43   0.0   30.2       5.6 ?   Desulfitobacterium hafniense DCB-2, complete sequence
NZ_JZCR01000019.1    -         Sodium               RF03071    cm        1       55    62404    62355      -    no    1 0.54   0.0   30.2       5.7 ?   Levilactobacillus spicheri strain LP38 contig19, whole genome shotgun sequence
NZ_BOLP01000006.1    -         Sodium               RF03071    cm        1       55    43955    43907      -    no    1 0.57   0.0   30.2       5.7 ?   Levilactobacillus andaensis strain 866-3 contig6, whole genome shotgun sequence
NZ_CP012033.1        -         Sodium               RF03071    cm        1       55  1759265  1759313      +    no    1 0.57   0.0   30.2       5.8 ?   Levilactobacillus koreensis strain 26-25 chromosome, complete genome
NZ_RHOO01000014.1    -         Sodium               RF03071    cm        1       55     4745     4790      +    no    1 0.52   0.0   30.2       5.8 ?   Companilactobacillus hulinensis strain 8-1(1) contig14, whole genome shotgun sequence
NZ_MSSW01000073.1    -         Sodium               RF03071    cm        1       55    27330    27275      -    no    1 0.36   0.0   30.0       6.2 ?   Algoriphagus antarcticus strain DSM 15986 contig73, whole genome shotgun sequence
NZ_RHOA01000001.1    -         Sodium               RF03071    cm        1       55   274134   274182      +    no    1 0.53   0.0   29.9       6.6 ?   Levilactobacillus tangyuanensis strain 137-3 contig1, whole genome shotgun sequence
NZ_KQ034028.1        -         Sodium               RF03071    cm        1       55   670591   670640      +    no    1 0.46   0.0   29.7       7.8 ?   Bombilactobacillus mellifer strain Bin4 Bin4_scaffold1, whole genome shotgun sequence
NZ_CP014873.1        -         Sodium               RF03071    cm        1       55   452050   452001      -    no    1 0.44   0.0   29.7       7.8 ?   Loigolactobacillus backii strain TMW 1.1989 chromosome, complete genome
NZ_RHNP01000069.1    -         Sodium               RF03071    cm        1       55      148      197      +    no    1 0.44   0.0   29.7       7.8 ?   Loigolactobacillus iwatensis strain JCM 18838 contig69, whole genome shotgun sequence
NZ_CP029608.1        -         Sodium               RF03071    cm        1       55  1117716  1117767      +    no    1 0.42   0.0   29.4       9.2 ?   Pseudomonas kribbensis strain 46-2 chromosome, complete genome
NZ_RHOB01000010.1    -         Sodium               RF03071    cm        1       55    95285    95237      -    no    1 0.59   0.0   29.3       9.5 ?   Levilactobacillus angrenensis strain M1530-1 contig10, whole genome shotgun sequence
NZ_FOTS01000016.1    -         Sodium               RF03071    cm        1       55    18571    18623      +    no    1 0.58   0.0   29.3       9.6 ?   Pelosinus propionicus DSM 13327, whole genome shotgun sequence
NZ_RHNO01000003.1    -         Sodium               RF03071    cm        1       55    51019    50971      -    no    1 0.59   0.0   29.1        11 ?   Levilactobacillus yonginensis strain JCM 18023 contig3, whole genome shotgun sequence
NZ_RHNY01000019.1    -         Sodium               RF03071    cm        1       55    14806    14854      +    no    1 0.59   0.0   29.1        11 ?   Levilactobacillus tongjiangensis strain 218-10 contig19, whole genome shotgun sequence
NZ_AP014680.1        -         Sodium               RF03071    cm        1       55  1726072  1726120      +    no    1 0.53   0.0   29.1        11 ?   Paucilactobacillus hokkaidonensis JCM 18461 strain LOOC260 chromosome, complete genome
NZ_BOLL01000003.1    -         Sodium               RF03071    cm        1       55    19308    19260      -    no    1 0.59   0.0   29.0        12 ?   Levilactobacillus wangkuiensis strain 115-7 contig3, whole genome shotgun sequence
NZ_CP046037.1        -         Sodium               RF03071    cm        1       55   561675   561628      -    no    1 0.44   0.0   28.8        13 ?   Latilactobacillus sakei strain CBA3614 chromosome, complete genome
NZ_CP045007.1        -         Sodium               RF03071    cm        1       55   252164   252211      +    no    1 0.44   0.0   28.8        13 ?   Latilactobacillus graminis strain LG542 chromosome, complete genome
NZ_LT984417.1        -         Sodium               RF03071    cm        1       55   366552   366599      +    no    1 0.44   0.0   28.8        13 ?   Latilactobacillus fuchuensis strain MFPC41A2801 chromosome I, whole genome shotgun sequence
NZ_MUBJ01000013.1    -         Sodium               RF03071    cm        1       55   111782   111728      -    no    1 0.24   0.2   28.8        13 ?   Xenorhabdus vietnamensis strain DSM 22392 Xvie_13, whole genome shotgun sequence
NZ_JQCA01000048.1    -         Sodium               RF03071    cm        1       55    44821    44773      -    no    1 0.51   0.0   28.7        14 ?   Levilactobacillus paucivorans strain DSM 22467 NODE_61, whole genome shotgun sequence
NZ_RHOC01000002.1    -         Sodium               RF03071    cm        1       55   225615   225663      +    no    1 0.51   0.0   28.7        14 ?   Levilactobacillus huananensis strain 151-2B contig2, whole genome shotgun sequence
NZ_RHOD01000005.1    -         Sodium               RF03071    cm        1       55    32522    32571      +    no    1 0.52   0.0   28.7        14 ?   Levilactobacillus lindianensis strain 220-4 contig5, whole genome shotgun sequence
NZ_RHNS01000013.1    -         Sodium               RF03071    cm        1       55    53386    53430      +    no    1 0.53   0.0   28.7        14 ?   Lacticaseibacillus porcinae strain JCM 19617 contig13, whole genome shotgun sequence
NZ_BONQ01000150.1    -         Sodium               RF03071    cm        1       55    27439    27483      +    no    1 0.53   0.0   28.7        14 ?   Dactylosporangium siamense strain NBRC 106093 sequence150, whole genome shotgun sequence
NZ_WVIC01000052.1    -         Sodium               RF03071    cm        1       55    25765    25820      +    no    1 0.29   0.0   28.7        14 ?   Petrachloros mirabilis SCV7A strain C NODE_663_length_28374_cov_123.750274, whole genome shotgun sequence
NZ_CP076458.1        -         Sodium               RF03071    cm        1       55  2317886  2317821      -    no    1 0.42   0.0   28.6        14 ?   Novisyntrophococcus fermenticellae strain JN500902 chromosome, complete genome
NZ_FNLL01000014.1    -         Sodium               RF03071    cm        1       55    47267    47220      -    no    1 0.23   0.2   28.5        15 ?   Desulfobacula phenolica strain DSM 3384, whole genome shotgun sequence
NZ_LT630287.1        -         Sodium               RF03071    cm        1       55  2231545  2231496      -    no    1 0.54   0.0   28.4        17 ?   Ligilactobacillus acidipiscis strain ACA-DC 1533 chromosome I, complete sequence
NZ_CP045068.1        -         Sodium               RF03071    cm        1       55  3224579  3224620      +    no    1 0.55   0.0   28.4        17 ?   Lacticaseibacillus manihotivorans strain LM010 chromosome
NZ_RHNS01000014.1    -         Sodium               RF03071    cm        1       55    15906    15947      +    no    1 0.55   0.0   28.4        17 ?   Lacticaseibacillus porcinae strain JCM 19617 contig14, whole genome shotgun sequence
NZ_CM001398.1        -         Sodium               RF03071    cm        1       55  1568328  1568376      +    no    1 0.43   0.0   28.3        17 ?   Oenococcus kitaharae DSM 17330 chromosome, whole genome shotgun sequence
NC_012034.1          -         Sodium               RF03071    cm        1       55  2309575  2309622      +    no    1 0.40   0.0   28.2        18 ?   Caldicellulosiruptor bescii DSM 6725, complete sequence
NZ_CP091510.1        -         Sodium               RF03071    cm        1       55  2328385  2328339      -    no    1 0.23   0.3   28.2        19 ?   Neisseria arctica strain KH1503 chromosome, complete genome
NZ_BPKZ01000004.1    -         Sodium               RF03071    cm        1       55    75142    75184      +    no    1 0.47   0.0   28.2        19 ?   Leuconostoc palmae strain JCM 16944 contig4, whole genome shotgun sequence
NZ_BJZL01000022.1    -         Sodium               RF03071    cm        1       55    37847    37799      -    no    1 0.51   0.0   28.1        19 ?   Levilactobacillus namurensis strain NBRC 107158 sequence022, whole genome shotgun sequence
NZ_WQLA01000005.1    -         Sodium               RF03071    cm        1       55   154617   154685      +    no    1 0.39   0.0   28.1        19 ?   Mucilaginibacter aquatilis strain HME9299 5, whole genome shotgun sequence
NZ_CP019323.1        -         Sodium               RF03071    cm        1       55   848624   848578      -    no    1 0.53   0.0   28.0        21 ?   Companilactobacillus allii strain WiKim39 chromosome, complete genome
NZ_BCWD01000010.1    -         Sodium               RF03071    cm        1       55     2018     2066      +    no    1 0.59   0.0   28.0        21 ?   Levilactobacillus senmaizukei DSM 21775 = NBRC 103853, whole genome shotgun sequence
NC_014721.1          -         Sodium               RF03071    cm        1       55   870797   870856      +    no    1 0.40   0.0   27.8        23 ?   Caldicellulosiruptor kristjanssonii I77R1B, complete sequence
NZ_CP045069.1        -         Sodium               RF03071    cm        1       55    61307    61350      +    no    1 0.50   0.0   27.8        24 ?   Lacticaseibacillus manihotivorans strain LM010 plasmid unnamed1
NZ_CP059606.1        -         Sodium               RF03071    cm        1       55     4306     4263      -    no    1 0.50   0.0   27.8        24 ?   Levilactobacillus suantsaii strain CBA3634 plasmid pCBA3634-03, complete sequence
NZ_RHOS01000030.1    -         Sodium               RF03071    cm        1       55     8909     8952      +    no    1 0.50   0.0   27.8        24 ?   Companilactobacillus keshanensis strain 33-7 contig30, whole genome shotgun sequence
NZ_RHOC01000020.1    -         Sodium               RF03071    cm        1       55     5343     5386      +    no    1 0.50   0.0   27.8        24 ?   Levilactobacillus huananensis strain 151-2B contig20, whole genome shotgun sequence
NZ_DF820486.1        -         Sodium               RF03071    cm        1       55    63411    63365      -    no    1 0.45   0.0   27.8        24 ?   Weissella oryzae SG25, whole genome shotgun sequence
NZ_CADIKK010000008.1 -         Sodium               RF03071    cm        1       55   219222   219277      +    no    1 0.41   0.0   27.7        24 ?   Paraburkholderia ultramafica strain LMG 28614 isolate LMG 28614, whole genome shotgun sequence
NZ_BIFR01000002.1    -         Sodium               RF03071    cm        1       55  1023579  1023519      -    no    1 0.44   0.0   27.6        27 ?   Tengunoibacter tsumagoiensis strain Uno3 sequence2, whole genome shotgun sequence
NZ_WVEM01000010.1    -         Sodium               RF03071    cm        1       55     9307     9344      +    no    1 0.37   0.0   27.6        27 ?   Sunxiuqinia indica strain RC1_OXG_1F NODE_10_length_175589_cov_72.583861, whole genome shotgun sequence
