#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_LHMA01000015.1    -         nhaA-I               RF03057    cm        1       55   431588   431545      -    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_15, whole genome shotgun sequence
NZ_JTCJ01000062.1    -         nhaA-I               RF03057    cm        5       55    12005    11947      -    no    1 0.69   0.0   10.4   5.7e+03 ?   Pseudomonas putida strain SQ1 Contig_484_PpSQ1, whole genome shotgun sequence
NZ_PYUR01000033.1    -         nhaA-I               RF03057    cm        1       55   247276   247344      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 4, whole genome shotgun sequence
NZ_LHMF01000033.1    -         nhaA-I               RF03057    cm        1       55     9003     9071      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_33, whole genome shotgun sequence
NZ_LHNW01000001.1    -         nhaA-I               RF03057    cm        1       55     9004     9072      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_1, whole genome shotgun sequence
NZ_LHLX01000011.1    -         nhaA-I               RF03057    cm        1       55     9036     9104      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50442 N50442_contig_11, whole genome shotgun sequence
NZ_LHLF01000020.1    -         nhaA-I               RF03057    cm        1       55     9004     9072      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_20, whole genome shotgun sequence
NZ_LHMA01000007.1    -         nhaA-I               RF03057    cm        1       55     9004     9072      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_7, whole genome shotgun sequence
NZ_ACEQ02000010.1    -         nhaA-I               RF03057    cm        1       55    35571    35625      +    no    1 0.64   0.1   10.4   5.7e+03 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont9.1, whole genome shotgun sequence
NZ_MRVD01000002.1    -         nhaA-I               RF03057    cm       37       54   188477   188461      -    no    1 1.00   1.6   10.4   5.7e+03 ?   Ensifer adhaerens strain X097 Scaffold2, whole genome shotgun sequence
NZ_JAHEAH010000008.1 -         nhaA-I               RF03057    cm        1       55   133911   133829      -    no    1 0.59   0.0   10.4   5.7e+03 ?   Flavihumibacter rivuli strain IMCC34838 NODE_8_length_201089_cov_27.670201, whole genome shotgun sequence
NZ_ACEQ02000008.1    -         nhaA-I               RF03057    cm       37       54    45092    45074      -    no    1 0.79   0.0   10.4   5.7e+03 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont7.1, whole genome shotgun sequence
NZ_CDMV01000015.1    -         nhaA-I               RF03057    cm        1       55    39211    39170      -    no    1 0.55   0.0   10.4   5.7e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_QROA01000024.1    -         nhaA-I               RF03057    cm        1       55    35261    35225      -    no    1 0.51   0.0   10.4   5.8e+03 ?   Lachnospira eligens strain AF41-18 AF41-18.Scaf24, whole genome shotgun sequence
NZ_UTDA01000052.1    -         nhaA-I               RF03057    cm        1       42       40        1      -    3'    3 0.65   0.0   10.4   5.8e+03 ?   Pseudomonas viridiflava isolate p12.A2, whole genome shotgun sequence
NZ_JAOA01000006.1    -         nhaA-I               RF03057    cm       38       53    72549    72534      -    no    1 1.00   1.0   10.4   5.8e+03 ?   Mycobacterium kansasii 662 gmk662.contig.5, whole genome shotgun sequence
NZ_JAALFR010000051.1 -         nhaA-I               RF03057    cm       36       55      206      188      -    no    1 0.79   0.0   10.4   5.8e+03 ?   Pantoea anthophila strain EKM101A Pseudomonas_EKM101A_gdna101198_scaffold54, whole genome shotgun sequence
NZ_JAALFQ010000055.1 -         nhaA-I               RF03057    cm       36       55      206      188      -    no    1 0.79   0.0   10.4   5.8e+03 ?   Pantoea sp. EKM103V 101214_scaffold55, whole genome shotgun sequence
NZ_CABVLX010000003.1 -         nhaA-I               RF03057    cm        1       55   121141   121050      -    no    1 0.60   0.0   10.4   5.9e+03 ?   Desulfovibrio diazotrophicus isolate Dwuxii, whole genome shotgun sequence
NZ_VKWI01001417.1    -         nhaA-I               RF03057    cm       39       52       19       32      +    no    2 0.93   0.0   10.4   5.9e+03 ?   Klebsiella pneumoniae strain AS012347 AS012347_1417, whole genome shotgun sequence
NZ_MQYM01000003.1    -         nhaA-I               RF03057    cm        1       55      227      248      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2011 contig3, whole genome shotgun sequence
NZ_MQZC01000002.1    -         nhaA-I               RF03057    cm        1       55      228      207      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain GC_2013_STM1 contig2, whole genome shotgun sequence
NZ_VLGS01000402.1    -         nhaA-I               RF03057    cm        1       55      149      170      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AS012683 AS012683_403, whole genome shotgun sequence
NZ_MQYU01000098.1    -         nhaA-I               RF03057    cm        1       55      157      178      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2013 contig98, whole genome shotgun sequence
NZ_VLGS01000402.1    -         nhaA-I               RF03057    cm        1       55       36       57      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AS012683 AS012683_403, whole genome shotgun sequence
NZ_MQWR01000002.1    -         nhaA-I               RF03057    cm        1       55      227      248      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2011 contig2, whole genome shotgun sequence
NZ_MQWR01000053.1    -         nhaA-I               RF03057    cm        1       55      226      205      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2011 contig53, whole genome shotgun sequence
NZ_MQYF01000004.1    -         nhaA-I               RF03057    cm        1       55      190      211      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2005_STM1 contig4, whole genome shotgun sequence
NZ_MQYT01000097.1    -         nhaA-I               RF03057    cm        1       55      226      205      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2012_STM2 contig97, whole genome shotgun sequence
NZ_MQYN01000010.1    -         nhaA-I               RF03057    cm        1       55       77       56      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2012 contig10, whole genome shotgun sequence
NZ_MQYN01000010.1    -         nhaA-I               RF03057    cm        1       55      416      395      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2012 contig10, whole genome shotgun sequence
NZ_MQZU01000001.1    -         nhaA-I               RF03057    cm        1       55      227      248      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain SanG_2012 contig1, whole genome shotgun sequence
NZ_MQYU01000023.1    -         nhaA-I               RF03057    cm        1       55       71       50      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2013 contig23, whole genome shotgun sequence
NZ_MQYU01000023.1    -         nhaA-I               RF03057    cm        1       55      297      276      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2013 contig23, whole genome shotgun sequence
NZ_MQZO01000004.1    -         nhaA-I               RF03057    cm        1       55      129      150      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain BB_2010 contig4, whole genome shotgun sequence
NZ_MQZQ01000047.1    -         nhaA-I               RF03057    cm        1       55      112       91      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain BB_2012 contig47, whole genome shotgun sequence
NZ_MQZV01000002.1    -         nhaA-I               RF03057    cm        1       55      129      150      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain SanG_2013 contig2, whole genome shotgun sequence
NZ_MQXC01000005.1    -         nhaA-I               RF03057    cm        1       55      225      204      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2007 contig5, whole genome shotgun sequence
NZ_MQXD01000002.1    -         nhaA-I               RF03057    cm        1       55      227      248      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2008 contig2, whole genome shotgun sequence
NZ_MQWZ01000001.1    -         nhaA-I               RF03057    cm        1       55      226      205      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2005 contig1, whole genome shotgun sequence
NZ_MQYM01000047.1    -         nhaA-I               RF03057    cm        1       55      226      205      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2011 contig47, whole genome shotgun sequence
NZ_MQWQ01000005.1    -         nhaA-I               RF03057    cm        1       55       77       56      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2010 contig5, whole genome shotgun sequence
NZ_MQXA01000072.1    -         nhaA-I               RF03057    cm        1       55       71       50      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2006_STM1 contig72, whole genome shotgun sequence
NZ_MQXA01000072.1    -         nhaA-I               RF03057    cm        1       55      184      163      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2006_STM1 contig72, whole genome shotgun sequence
NZ_MQYR01000001.1    -         nhaA-I               RF03057    cm        1       55      226      205      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2011 contig1, whole genome shotgun sequence
NZ_MQYR01000009.1    -         nhaA-I               RF03057    cm        1       55      227      248      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2011 contig9, whole genome shotgun sequence
NZ_WKLG01000104.1    -         nhaA-I               RF03057    cm        1       55      171      192      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain STN-MAK7 NODE_104_length_282_cov_21.567742, whole genome shotgun sequence
NZ_MQWR01000002.1    -         nhaA-I               RF03057    cm        1       55      114      135      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2011 contig2, whole genome shotgun sequence
NZ_MQYT01000097.1    -         nhaA-I               RF03057    cm        1       55      339      318      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2012_STM2 contig97, whole genome shotgun sequence
NZ_MQZU01000001.1    -         nhaA-I               RF03057    cm        1       55      114      135      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain SanG_2012 contig1, whole genome shotgun sequence
NZ_MQYU01000098.1    -         nhaA-I               RF03057    cm        1       55      383      404      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2013 contig98, whole genome shotgun sequence
NZ_MQZO01000004.1    -         nhaA-I               RF03057    cm        1       55      355      376      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain BB_2010 contig4, whole genome shotgun sequence
NZ_MQXC01000005.1    -         nhaA-I               RF03057    cm        1       55      338      317      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2007 contig5, whole genome shotgun sequence
NZ_MQXC01000005.1    -         nhaA-I               RF03057    cm        1       55      451      430      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2007 contig5, whole genome shotgun sequence
NZ_MQXD01000002.1    -         nhaA-I               RF03057    cm        1       55      114      135      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2008 contig2, whole genome shotgun sequence
NZ_MQXE01000002.1    -         nhaA-I               RF03057    cm        1       55      184      163      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2010 contig2, whole genome shotgun sequence
NZ_MQXE01000123.1    -         nhaA-I               RF03057    cm        1       55      112       91      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2010 contig123, whole genome shotgun sequence
NZ_MQYM01000003.1    -         nhaA-I               RF03057    cm        1       55      114      135      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2011 contig3, whole genome shotgun sequence
NZ_MQWQ01000005.1    -         nhaA-I               RF03057    cm        1       55      190      169      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2010 contig5, whole genome shotgun sequence
NZ_MQXA01000072.1    -         nhaA-I               RF03057    cm        1       55      410      389      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2006_STM1 contig72, whole genome shotgun sequence
NZ_MQXA01000072.1    -         nhaA-I               RF03057    cm        1       55      636      615      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2006_STM1 contig72, whole genome shotgun sequence
NZ_MQYR01000009.1    -         nhaA-I               RF03057    cm        1       55      114      135      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2011 contig9, whole genome shotgun sequence
NZ_MQWR01000053.1    -         nhaA-I               RF03057    cm        1       55      113       92      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain ZC_2011 contig53, whole genome shotgun sequence
NZ_MQYT01000097.1    -         nhaA-I               RF03057    cm        1       55      113       92      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2012_STM2 contig97, whole genome shotgun sequence
NZ_MQYU01000023.1    -         nhaA-I               RF03057    cm        1       55      184      163      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2013 contig23, whole genome shotgun sequence
NZ_MQZO01000004.1    -         nhaA-I               RF03057    cm        1       55      242      263      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain BB_2010 contig4, whole genome shotgun sequence
NZ_MQZQ01000047.1    -         nhaA-I               RF03057    cm        1       55      225      204      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain BB_2012 contig47, whole genome shotgun sequence
NZ_MQZV01000002.1    -         nhaA-I               RF03057    cm        1       55      242      263      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain SanG_2013 contig2, whole genome shotgun sequence
NZ_MQXE01000002.1    -         nhaA-I               RF03057    cm        1       55      297      276      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2010 contig2, whole genome shotgun sequence
NZ_MQXE01000123.1    -         nhaA-I               RF03057    cm        1       55      225      204      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2010 contig123, whole genome shotgun sequence
NZ_MQWZ01000001.1    -         nhaA-I               RF03057    cm        1       55      113       92      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain CV_2005 contig1, whole genome shotgun sequence
NZ_MQYM01000047.1    -         nhaA-I               RF03057    cm        1       55      113       92      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2011 contig47, whole genome shotgun sequence
NZ_MQYR01000001.1    -         nhaA-I               RF03057    cm        1       55      113       92      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain AV_2011 contig1, whole genome shotgun sequence
NZ_MQZF01000001.1    -         nhaA-I               RF03057    cm        1       55       91      112      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain GC_2014_STM2 contig1, whole genome shotgun sequence
NZ_MQYN01000010.1    -         nhaA-I               RF03057    cm        1       55      303      282      -    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain Fma_2012 contig10, whole genome shotgun sequence
NZ_MQZF01000001.1    -         nhaA-I               RF03057    cm        1       55      204      225      +    no    1 0.73   0.0   10.3     6e+03 ?   Stenotrophomonas maltophilia strain GC_2014_STM2 contig1, whole genome shotgun sequence
NZ_RDCN01000054.1    -         nhaA-I               RF03057    cm        1       55    32019    31976      -    no    1 0.57   0.0   10.3     6e+03 ?   Escherichia coli strain CFFY144 CFFY144_scaffold54.1_size57803, whole genome shotgun sequence
NZ_BIMO01000002.1    -         nhaA-I               RF03057    cm        1       55    46988    46947      -    no    1 0.60   0.0   10.3     6e+03 ?   Stenotrophomonas pavanii strain Y contig2, whole genome shotgun sequence
NZ_BIMO01000005.1    -         nhaA-I               RF03057    cm        1       55   197320   197249      -    no    1 0.71   0.0   10.3     6e+03 ?   Stenotrophomonas pavanii strain Y contig5, whole genome shotgun sequence
NZ_JAOA01000006.1    -         nhaA-I               RF03057    cm        1       55    93425    93477      +    no    1 0.64   0.0   10.3     6e+03 ?   Mycobacterium kansasii 662 gmk662.contig.5, whole genome shotgun sequence
NZ_MNPM02000020.1    -         nhaA-I               RF03057    cm        1       55    39887    39835      -    no    1 0.53   0.0   10.3   6.1e+03 ?   Mastigocladus laminosus UU774 scaffold_19, whole genome shotgun sequence
NZ_CABGVC010000006.1 -         nhaA-I               RF03057    cm        1       55   168994   169080      +    no    1 0.68   0.0   10.3   6.1e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000001.1    -         nhaA-I               RF03057    cm        1       55   181983   181897      -    no    1 0.68   0.0   10.3   6.1e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_1_length_350888_cov_56.4399, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  1168713  1168658      -    no    1 0.73   0.0   10.3   6.1e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_UWFK01000367.1    -         nhaA-I               RF03057    cm       29       55      211      237      +    no    1 0.70   0.0   10.3   6.1e+03 ?   Pseudomonas viridiflava isolate p8.H3, whole genome shotgun sequence
NZ_JAAQPR010000042.1 -         nhaA-I               RF03057    cm        1       55    12552    12610      +    no    1 0.76   0.2   10.3   6.1e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000276, whole genome shotgun sequence
NZ_JAHEAH010000004.1 -         nhaA-I               RF03057    cm        1       55   474912   474853      -    no    1 0.57   0.0   10.3   6.1e+03 ?   Flavihumibacter rivuli strain IMCC34838 NODE_4_length_566118_cov_45.148910, whole genome shotgun sequence
NZ_JTCJ01000595.1    -         nhaA-I               RF03057    cm        1       55     2751     2794      +    no    1 0.73   0.0   10.3   6.1e+03 ?   Pseudomonas putida strain SQ1 Contig_274_PpSQ1, whole genome shotgun sequence
NZ_JYOF01000003.1    -         nhaA-I               RF03057    cm        1       55  1123100  1123174      +    no    1 0.76   3.2   10.3   6.1e+03 ?   Pseudomonas sp. 2(2015) contig3, whole genome shotgun sequence
NZ_JACJNF010000006.1 -         nhaA-I               RF03057    cm        1       55   234178   234121      -    no    1 0.62   0.0   10.3   6.1e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_06, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55  1108390  1108347      -    no    1 0.70   0.0   10.3   6.2e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_BIMO01000012.1    -         nhaA-I               RF03057    cm        1       55    66784    66821      +    no    1 0.68   0.0   10.3   6.2e+03 ?   Stenotrophomonas pavanii strain Y contig12, whole genome shotgun sequence
NZ_VELP01000259.1    -         nhaA-I               RF03057    cm        1       55       67      101      +    no    1 0.37   0.0   10.3   6.2e+03 ?   Bacillus pseudomycoides strain DE0184 NODE_259_length_237_cov_0.385057, whole genome shotgun sequence
NZ_PEDB01000007.1    -         nhaA-I               RF03057    cm        1       55    28709    28746      +    no    1 0.63   0.0   10.3   6.2e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000007, whole genome shotgun sequence
NZ_VWQC01000545.1    -         nhaA-I               RF03057    cm        4       55      389      461      +    no    1 0.62   0.0   10.3   6.2e+03 ?   Pseudomonas aeruginosa strain L34 L34_L1.R1.clean_(paired)_contig_555, whole genome shotgun sequence
NZ_VWQB01000127.1    -         nhaA-I               RF03057    cm        4       55      577      505      -    no    1 0.62   0.0   10.3   6.2e+03 ?   Pseudomonas aeruginosa strain L35 L35_L1.R1.clean_(paired)_contig_128, whole genome shotgun sequence
NZ_JYOF01000019.1    -         nhaA-I               RF03057    cm        1       55    73180    73112      -    no    1 0.77   0.9   10.3   6.2e+03 ?   Pseudomonas sp. 2(2015) contig19, whole genome shotgun sequence
NZ_JACJNF010000016.1 -         nhaA-I               RF03057    cm        1       55    17645    17598      -    no    1 0.71   0.0   10.2   6.3e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_16, whole genome shotgun sequence
NZ_ACJD01000006.1    -         nhaA-I               RF03057    cm        5       55   794768   794717      -    no    1 0.58   0.0   10.2   6.3e+03 ?   Brucella ceti str. Cudo chromosome II VBI00082_1, whole genome shotgun sequence
NZ_MRVD01000021.1    -         nhaA-I               RF03057    cm        1       55    21277    21335      +    no    1 0.71   0.0   10.2   6.3e+03 ?   Ensifer adhaerens strain X097 Scaffold30, whole genome shotgun sequence
NZ_JACJNC010000016.1 -         nhaA-I               RF03057    cm        1       55    58649    58718      +    no    1 0.57   0.0   10.2   6.4e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_16, whole genome shotgun sequence
NZ_JACJMT010000009.1 -         nhaA-I               RF03057    cm        1       55   153095   153026      -    no    1 0.57   0.0   10.2   6.4e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_09, whole genome shotgun sequence
NZ_MRZP01000023.1    -         nhaA-I               RF03057    cm        1       55    46515    46561      +    no    1 0.68   0.0   10.2   6.4e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_23_length_76752_cov_75.502_ID_45, whole genome shotgun sequence
NZ_PEDB01000050.1    -         nhaA-I               RF03057    cm        1       55    75404    75481      +    no    1 0.67   0.0   10.2   6.4e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000050, whole genome shotgun sequence
NZ_LTBH01000016.1    -         nhaA-I               RF03057    cm        1       55    12014    12080      +    no    1 0.72   0.0   10.2   6.5e+03 ?   Corynebacterium striatum strain 2247 mira_16_len_130781, whole genome shotgun sequence
NZ_LBCN01000040.1    -         nhaA-I               RF03057    cm        1       55    39458    39392      -    no    1 0.72   0.0   10.2   6.5e+03 ?   Corynebacterium striatum strain 2023 Consensus_from_Contig_25_mapping, whole genome shotgun sequence
NZ_JTCJ01000470.1    -         nhaA-I               RF03057    cm        1       55      565      527      -    no    1 0.64   0.0   10.2   6.5e+03 ?   Pseudomonas putida strain SQ1 Contig_866_PpSQ1, whole genome shotgun sequence
NZ_CABVLX010000002.1 -         nhaA-I               RF03057    cm        1       55    44862    44810      -    no    1 0.79   1.0   10.2   6.5e+03 ?   Desulfovibrio diazotrophicus isolate Dwuxii, whole genome shotgun sequence
NZ_JACJNF010000004.1 -         nhaA-I               RF03057    cm        1       55    87859    87927      +    no    1 0.72   0.0   10.2   6.5e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_04, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm       38       53  3346803  3346787      -    no    1 0.76   0.0   10.2   6.5e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_BADM01000354.1    -         nhaA-I               RF03057    cm        1       55     3017     3087      +    no    1 0.65   0.0   10.2   6.6e+03 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_PEDB01000140.1    -         nhaA-I               RF03057    cm        1       55    33760    33805      +    no    1 0.65   0.0   10.1   6.8e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000140, whole genome shotgun sequence
NZ_MLFE01000022.1    -         nhaA-I               RF03057    cm        1       55    37850    37904      +    no    1 0.60   0.0   10.1   6.8e+03 ?   Pantoea allii strain LMG 24248 Contig0022_, whole genome shotgun sequence
NZ_MRZP01000001.1    -         nhaA-I               RF03057    cm        1       55   100744   100684      -    no    1 0.61   0.0   10.1   6.8e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_1_length_293101_cov_76.4829_ID_1, whole genome shotgun sequence
NZ_LAYQ01000019.1    -         nhaA-I               RF03057    cm        1       55    22638    22699      +    no    1 0.69   0.0   10.1   6.8e+03 ?   Corynebacterium minutissimum strain 1941 Contig_19, whole genome shotgun sequence
NZ_AXXW01000008.1    -         nhaA-I               RF03057    cm        1       55    13958    14003      +    no    1 0.46   0.0   10.1   6.8e+03 ?   Acholeplasma multilocale ATCC 49900 G319DRAFT_scaffold00005.5_C, whole genome shotgun sequence
NZ_JAHEAH010000003.1 -         nhaA-I               RF03057    cm        1       55   258887   258941      +    no    1 0.62   0.1   10.1   6.8e+03 ?   Flavihumibacter rivuli strain IMCC34838 NODE_3_length_678769_cov_33.333908, whole genome shotgun sequence
NZ_JAOA01000015.1    -         nhaA-I               RF03057    cm        1       55    73802    73755      -    no    1 0.71   0.0   10.1   6.8e+03 ?   Mycobacterium kansasii 662 gmk662.contig.14, whole genome shotgun sequence
NZ_JACJNC010000008.1 -         nhaA-I               RF03057    cm        1       55    73995    73927      -    no    1 0.74   0.1   10.1   6.8e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_08, whole genome shotgun sequence
NZ_JACJMT010000023.1 -         nhaA-I               RF03057    cm        1       55    15969    16037      +    no    1 0.74   0.1   10.1   6.8e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_23, whole genome shotgun sequence
NZ_QKKX01000139.1    -         nhaA-I               RF03057    cm       37       54       81       65      -    no    1 0.76   0.0   10.1   6.9e+03 ?   Micromonospora sp. MW-13 c152, whole genome shotgun sequence
NZ_JYOF01000015.1    -         nhaA-I               RF03057    cm        1       55    82532    82575      +    no    1 0.64   0.0   10.1   6.9e+03 ?   Pseudomonas sp. 2(2015) contig15, whole genome shotgun sequence
NZ_CABEFZ010000043.1 -         nhaA-I               RF03057    cm        1       55   220994   220936      -    no    1 0.68   0.0   10.1     7e+03 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_JACJNF010000012.1 -         nhaA-I               RF03057    cm       37       54   146956   146972      +    no    1 0.82   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_12, whole genome shotgun sequence
NZ_JACJNC010000013.1 -         nhaA-I               RF03057    cm       37       54    81178    81194      +    no    1 0.82   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_13, whole genome shotgun sequence
NZ_JACJMT010000001.1 -         nhaA-I               RF03057    cm       37       54   251512   251496      -    no    1 0.82   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_01, whole genome shotgun sequence
