#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_VZII01000052.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    33365    33310      -    no    1 0.57   0.0   24.2   2.8e+02 !   Pseudomonas sp. MN1F NODE_61_length_73871_cov_196.644165, whole genome shotgun sequence
JAFGPX010000066.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3319     3364      +    no    1 0.70   0.0   24.2   2.8e+02 !   Deltaproteobacteria bacterium isolate Zod_Metabat.714 k87_2343048, whole genome shotgun sequence
NZ_JACHMF010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   207352   207299      -    no    1 0.74   0.0   24.2   2.8e+02 !   Actinoplanes abujensis strain DSM 45518 Ga0104630_01, whole genome shotgun sequence
NZ_CP019038.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5239610  5239659      +    no    1 0.78   0.1   24.2   2.8e+02 !   Massilia putida strain 6NM-7 chromosome, complete genome
NZ_LR594671.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   254889   254946      +    no    1 0.78   0.7   24.2   2.8e+02 !   Variovorax sp. PBL-E5 chromosome 1
NZ_CADESW010000015.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   179047   179081      +    no    1 0.71   0.0   24.2   2.8e+02 !   Burkholderia stagnalis strain LMG 28156, whole genome shotgun sequence
NZ_PTXL01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   267471   267505      +    no    1 0.71   0.0   24.2   2.8e+02 !   Burkholderia sp. SRS-46 NODE_7_length_610698_cov_23.9629, whole genome shotgun sequence
NZ_CABVIE010000033.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10366    10320      -    no    1 0.60   0.0   24.2   2.8e+02 !   Pseudomonas fluorescens isolate PS900, whole genome shotgun sequence
NZ_CP053908.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1293690  1293734      +    no    1 0.67   0.0   24.2   2.8e+02 !   Hymenobacter sp. BRD128 chromosome, complete genome
JACCRF010000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5851     5806      -    no    1 0.72   0.0   24.2   2.8e+02 !   Gemmatimonadaceae bacterium isolate MGR_bin15 SD2897-2912_k127_1415169, whole genome shotgun sequence
NZ_PEFT01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5087247  5087192      -    no    1 0.80   1.8   24.2   2.8e+02 !   Streptomyces sp. 70 Ga0181093_11, whole genome shotgun sequence
NZ_QTTG01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2414840  2414895      +    no    1 0.80   1.8   24.2   2.8e+02 !   Streptomyces sp. 75 Ga0181096_11, whole genome shotgun sequence
NZ_SOCP01000005.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   407726   407781      +    no    1 0.68   0.0   24.2   2.8e+02 !   Actinophytocola oryzae strain DSM 45499 Ga0181036_105, whole genome shotgun sequence
CADEGH010000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8848     8901      +    no    1 0.67   0.0   24.2   2.8e+02 !   uncultured bacterium isolate Bacteria sp. RBC034 genome assembly, contig: MAG034_13, whole genome shotgun sequence
PLSB01000081.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4437     4493      +    no    1 0.67   0.0   24.2   2.8e+02 !   Acidobacteriaceae bacterium isolate bog_373 73.20120700_S1D.65_contig_21439, whole genome shotgun sequence
NZ_QHKM01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1069627  1069688      +    no    1 0.65   0.0   24.2   2.8e+02 !   Hymenobacter edaphi strain NL NODE_1_length_1915879_cov_27.395277, whole genome shotgun sequence
NZ_ML974127.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1204645  1204610      -    no    1 0.78   0.0   24.2   2.8e+02 !   Halorussus salinus strain YJ-37-H Scaffold1, whole genome shotgun sequence
JAFTQJ010000037.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6894     6848      -    no    1 0.45   0.0   24.2   2.8e+02 !   Oscillospiraceae bacterium isolate RGIG4054 Roe_deer_Cecum.Co__c594274, whole genome shotgun sequence
JAFXAA010000034.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15156    15106      -    no    1 0.67   0.0   24.2   2.8e+02 !   Bacteroidales bacterium isolate RGIG6226 Sheep_Rectum-2__c930160, whole genome shotgun sequence
NZ_QRGA01000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   168844   168877      +    no    1 0.74   0.0   24.2   2.8e+02 !   Paraburkholderia sp. DHOM06 scaffold15, whole genome shotgun sequence
NZ_SLWS01000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    16513    16434      -    no    1 0.73   0.1   24.2   2.8e+02 !   Actinocrispum wychmicini strain DSM 45934 Ga0310477_119, whole genome shotgun sequence
NZ_NGFP01000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    57131    57181      +    no    1 0.80   0.9   24.2   2.8e+02 !   Streptosporangium minutum strain M26 scaffold19.1, whole genome shotgun sequence
NZ_SDPL01000392.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      254      198      -    no    1 0.81   2.1   24.2   2.8e+02 !   Agromyces binzhouensis strain CGMCC 4.7180 Scaffold392, whole genome shotgun sequence
NZ_VCJO01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   201444   201398      -    no    1 0.74   0.0   24.2   2.8e+02 !   Micromonospora sp. CP22 NODE_1_length_764068_cov_164.706308, whole genome shotgun sequence
NZ_CP066831.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49 10718756 10718811      +    no    1 0.77   0.3   24.2   2.8e+02 !   Streptomyces sp. ZYC-3 chromosome, complete genome
JACDAR010000212.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7554     7501      -    no    1 0.59   0.0   24.2   2.8e+02 !   Rubrobacter sp. isolate MGR_bin261 SD2897-2912_k127_7133547, whole genome shotgun sequence
PMIX01000382.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15909    15959      +    no    1 0.71   0.0   24.2   2.8e+02 !   Myxococcales bacterium isolate fen_1127 73.20120600_E3D.16_contig_302, whole genome shotgun sequence
NZ_CP024608.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3720029  3720081      +    no    1 0.66   0.0   24.2   2.8e+02 !   Massilia violaceinigra strain B2 chromosome
NZ_JH992926.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   535700   535648      -    no    1 0.72   0.0   24.2   2.8e+02 !   Massilia timonae CCUG 45783 supercont1.5, whole genome shotgun sequence
NZ_LJJF01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2050406  2050451      +    no    1 0.63   0.0   24.2   2.8e+02 !   Streptomyces sp. MJM8645 8645_contig1_contig000001, whole genome shotgun sequence
PHEE01000006.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40781    40724      -    no    1 0.79   1.2   24.2   2.8e+02 !   Alphaproteobacteria bacterium HGW-Alphaproteobacteria-4 bjp_ig2158_scaffold_79, whole genome shotgun sequence
NZ_AUEQ01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   263169   263111      -    no    1 0.75   0.1   24.2   2.8e+02 !   Mycobacterium sp. URHD0025 H977DRAFT_scaffold00007.7_C, whole genome shotgun sequence
JAHJHR010000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   317818   317877      +    no    1 0.70   0.0   24.2   2.8e+02 !   MAG: Alphaproteobacteria bacterium isolate Modern_marine_planktonic.mb.43 Modern_marine_plan.mb.43_k141_586865, whole genome shotgun sequence
NZ_CP046155.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4061558  4061503      -    no    1 0.73   0.0   24.2   2.8e+02 !   Leptolyngbya sp. BL0902 chromosome, complete genome
NZ_CP013424.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3039897  3039852      -    no    1 0.76   0.0   24.2   2.8e+02 !   Burkholderia sp. MSMB0852 chromosome 1, complete sequence
PMUF01000252.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    16668    16611      -    no    1 0.66   0.0   24.2   2.8e+02 !   Chitinophagaceae bacterium isolate palsa_949 73.20110700_P2S.20_contig_9278, whole genome shotgun sequence
NZ_WUWN01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   196583   196635      +    no    1 0.60   0.0   24.2   2.8e+02 !   Puerhibacterium puerhi strain TLY-12 Scaffold1, whole genome shotgun sequence
PLYW01000004.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2924     2971      +    no    1 0.60   0.0   24.2   2.8e+02 !   Acidobacteriaceae bacterium isolate palsa_354 73.20120700_P3D.22_contig_22287, whole genome shotgun sequence
NZ_CP074371.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14734    14789      +    no    1 0.73   0.0   24.2   2.8e+02 !   Nocardia tengchongensis strain CFH S0057 chromosome, complete genome
WNDX01000016.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10789    10735      -    no    1 0.73   0.0   24.2   2.8e+02 !   Herbaspirillum frisingense isolate cluster_DBSCAN_round4_6 GAK35_16, whole genome shotgun sequence
NZ_FRCX01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   163496   163422      -    no    1 0.68   0.0   24.2   2.8e+02 !   Duganella sacchari strain Sac-22, whole genome shotgun sequence
NZ_AP024094.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    84532    84586      +    no    1 0.82   3.5   24.2   2.8e+02 !   Jeongeupia sp. HS-3 chromosome, complete genome
NZ_JADBDC010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1016330  1016300      -    no    1 0.81   0.0   24.2   2.8e+02 !   Aeromicrobium sp. OAE604 Ga0395933_01, whole genome shotgun sequence
NZ_VDUX01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15470    15440      -    no    1 0.81   0.0   24.2   2.8e+02 !   Aeromicrobium sp. CC-CFT486 contig03, whole genome shotgun sequence
JAGFNW010000035.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31234    31286      +    no    1 0.74   0.0   24.2   2.8e+02 !   Streptosporangiaceae bacterium NEAU-GS5 Scaffold35, whole genome shotgun sequence
PMKV01000061.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    16733    16679      -    no    1 0.78   0.3   24.1   2.8e+02 !   Chloroflexi bacterium isolate fen_1042 73.20120600_E1D.47_contig_2502, whole genome shotgun sequence
NC_017186.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1862504  1862457      -    no    1 0.75   0.1   24.1   2.8e+02 !   Amycolatopsis mediterranei S699, complete sequence
NZ_CACRYJ010000067.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10434    10382      -    no    1 0.70   0.0   24.1   2.8e+02 !   Haloactinobacterium sp. F300 strain CIP 111667, whole genome shotgun sequence
NZ_MOLY01000046.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   368289   368346      +    no    1 0.69   0.0   24.1   2.8e+02 !   Sphingomonas montana strain W16RD contig_46, whole genome shotgun sequence
NZ_LS990887.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1376232  1376186      -    no    1 0.70   0.0   24.1   2.8e+02 !   Corynebacterium senegalense strain Marseille-P4329, whole genome shotgun sequence
NZ_VUOD01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   139310   139255      -    no    1 0.77   0.7   24.1   2.8e+02 !   Arenimonas fontis strain 3729k NODE_2, whole genome shotgun sequence
NZ_JAAALA010000033.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7034     6977      -    no    1 0.78   0.7   24.1   2.8e+02 !   Caulobacter sp. SLTY SLTYS3_33, whole genome shotgun sequence
JACCSU010000026.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40065    40112      +    no    1 0.73   0.0   24.1   2.8e+02 !   Sphingomonas sp. isolate MGR_bin56 SD2897-2912_k127_7055040, whole genome shotgun sequence
CAJJAV010000027.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    70024    69979      -    no    1 0.63   0.0   24.1   2.8e+02 !   uncultured Candidatus Poseidoniales archaeon isolate FRAM18_bin109 genome assembly, contig: FRAM17_bin109-27, whole genome shotgun sequence
NZ_BCUT01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   636981   637039      +    no    1 0.80   1.2   24.1   2.8e+02 !   Variovorax paradoxus NBRC 15149, whole genome shotgun sequence
QOZR01000005.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   254747   254680      -    no    1 0.74   0.2   24.1   2.8e+02 !   Rhodospirillaceae bacterium SYSU D60014 s1173_Contig5, whole genome shotgun sequence
CCNB01000034.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   225655   225688      +    no    1 0.62   0.0   24.1   2.8e+02 !   Mesorhizobium plurifarium genome assembly Mesorhizobium plurifarium STM8773 genome assembly, contig MPLDJ20_Contig_4, whole genome shotgun sequence
NZ_FOAO01000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    94781    94729      -    no    1 0.74   0.0   24.1   2.8e+02 !   Blastococcus sp. DSM 46786, whole genome shotgun sequence
NZ_CP070326.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  7191098  7191142      +    no    1 0.82   0.6   24.1   2.8e+02 !   Streptomyces noursei strain A-2-1 chromosome, complete genome
QQVE01000068.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   112143   112097      -    no    1 0.77   0.0   24.1   2.8e+02 !   Planctomycetes bacterium isolate LB_PLM_3 c_000000000038, whole genome shotgun sequence
SKMG01000412.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2875     2912      +    no    1 0.68   0.0   24.1   2.8e+02 !   Trueperaceae bacterium isolate CSSed162cmA_240 CSSed16-2cmA-90496, whole genome shotgun sequence
NZ_QJUM01000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    89762    89693      -    no    1 0.73   0.1   24.1   2.8e+02 !   Pseudomonas dryadis strain P26B NODE_19_length_126796_cov_68.730518, whole genome shotgun sequence
JAAYTP010000052.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    47924    47961      +    no    1 0.58   0.0   24.1   2.8e+02 !   MAG: Clostridiaceae bacterium isolate AS24abBPME_51 20548_AS24, whole genome shotgun sequence
NZ_FOHX01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   208644   208688      +    no    1 0.73   0.0   24.1   2.8e+02 !   Nonomuraea wenchangensis strain CGMCC 4.5598, whole genome shotgun sequence
NC_014962.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   579961   580006      +    no    1 0.74   0.1   24.1   2.8e+02 !   Isosphaera pallida ATCC 43644, complete sequence
NZ_JAEKJZ010000008.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    63374    63316      -    no    1 0.75   0.1   24.1   2.8e+02 !   Labrenzia aggregata strain SY-2-12 SY-2-12_ctg008, whole genome shotgun sequence
CAIRTN010000360.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14795    14743      -    no    1 0.75   0.1   24.1   2.8e+02 !   uncultured Rhodospirillales bacterium isolate Umea2_bin-1848 genome assembly, contig: bin-1848:360/477, whole genome shotgun sequence
NZ_AUBB01000029.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   160774   160835      +    no    1 0.74   0.2   24.1   2.8e+02 !   Pseudonocardia spinosispora DSM 44797 G406DRAFT_scaffold00018.18_C, whole genome shotgun sequence
NZ_WEGJ01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25808    25864      +    no    1 0.79   0.6   24.1   2.8e+02 !   Streptomyces sp. RB5 SRB5_6, whole genome shotgun sequence
NZ_JAFIWC010000038.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29840    29892      +    no    1 0.77   0.1   24.1   2.8e+02 !   Xanthomonas sp. AmX2 NODE_38_length_35927_cov_49.806806, whole genome shotgun sequence
NZ_CP053892.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  8899247  8899204      -    no    1 0.84   1.4   24.1   2.8e+02 !   Actinomadura verrucosospora strain NRRL:B18236 chromosome
NZ_FNZE01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   135687   135757      +    no    1 0.73   0.1   24.1   2.8e+02 !   Pseudomonas linyingensis strain LMG 25967, whole genome shotgun sequence
NZ_JAFBCE010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2422007  2421958      -    no    1 0.76   0.2   24.1   2.8e+02 !   Microbacterium laevaniformans strain DSM 20140 Ga0451148_01, whole genome shotgun sequence
NZ_KE150457.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1374202  1374251      +    no    1 0.76   0.2   24.1   2.8e+02 !   Microbacterium sp. oral taxon 186 str. F0373 acKdS-supercont1.1, whole genome shotgun sequence
PWEU01000272.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14294    14242      -    no    1 0.75   0.0   24.1   2.8e+02 !   Nitriliruptoraceae bacterium isolate T1Sed10_7 T1-Sed10-C2707, whole genome shotgun sequence
NZ_SCML01000036.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    42841    42913      +    no    1 0.71   0.0   24.1   2.8e+02 !   Hydrogenophaga sp. 2FB NODE_36_length_68699_cov_20.404660, whole genome shotgun sequence
NZ_FQXC01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   550213   550173      -    no    1 0.71   0.0   24.1   2.8e+02 !   Marivita hallyeonensis strain DSM 29431, whole genome shotgun sequence
PQAF01000021.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    28228    28183      -    no    1 0.83   1.0   24.1   2.8e+02 !   Rhodocyclales bacterium isolate FeB_8 contig_5857, whole genome shotgun sequence
VGHJ01000016.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31414    31369      -    no    1 0.83   1.0   24.1   2.8e+02 !   Betaproteobacteria bacterium isolate M_DeepCast_100m_m1_373 M_DeepCast_100m_m1_373_Ga0194119_10000979, whole genome shotgun sequence
NZ_ADBE01000030.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6764     6830      +    no    1 0.61   0.0   24.1   2.8e+02 !   Neisseria polysaccharea ATCC 43768 N_polysaccharea-1.0.1_Cont30.1, whole genome shotgun sequence
NZ_LMDC01000030.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   123200   123146      -    no    1 0.69   0.0   24.1   2.8e+02 !   Pelomonas sp. Root1217 contig_7, whole genome shotgun sequence
NC_008278.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   726699   726657      -    no    1 0.74   0.0   24.1   2.8e+02 !   Frankia alni ACN14a, complete sequence
NZ_CP036298.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1168467  1168513      +    no    1 0.70   0.0   24.1   2.8e+02 !   Aureliella helgolandensis strain Q31a chromosome, complete genome
NZ_AP022587.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4535610  4535664      +    no    1 0.73   0.0   24.1   2.8e+02 !   Mycobacterium stomatepiae strain JCM 17783 chromosome, complete genome
RECD01000222.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9934     9860      -    no    1 0.63   0.0   24.1   2.8e+02 !   Planctomycetaceae bacterium isolate DLM2.Bin10 NODE_1267_length_34244_cov_33.3565, whole genome shotgun sequence
NZ_MLYP01000048.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    27025    26973      -    no    1 0.68   0.0   24.1   2.8e+02 !   Streptomyces colonosanans strain MUSC 93 48, whole genome shotgun sequence
JADMKN010000014.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5769     5822      +    no    1 0.80   0.6   24.1   2.8e+02 !   Patulibacter sp. isolate NTP18 NODE_1132_length_7785_cov_5.158603, whole genome shotgun sequence
NZ_LT607750.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  7129783  7129834      +    no    1 0.75   0.1   24.1   2.8e+02 !   Micromonospora echinaurantiaca strain DSM 43904 chromosome I
JACRIL010000173.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    30898    30849      -    no    1 0.74   0.0   24.1   2.8e+02 !   Planctomycetes bacterium isolate NC_groundwater_1802_Pr3_B-0.1um_59_14 SR-2_scaffold_141_2798020, whole genome shotgun sequence
NZ_SISF01000025.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   126847   126790      -    no    1 0.67   0.0   24.1   2.8e+02 !   Agrobacterium cavarae strain RZME10 NODE_30_length_169499_cov_10.581856, whole genome shotgun sequence
NZ_CP042582.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   427417   427353      -    no    1 0.66   0.0   24.1   2.8e+02 !   Hypericibacter adhaerens strain R5959 chromosome, complete genome
KB906725.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1740756  1740706      -    no    1 0.82   1.5   24.1   2.8e+02 !   Oxalobacteraceae bacterium AB_14 genomic scaffold OxaIDRAFT_scaffold00002.2, whole genome shotgun sequence
NZ_WHUG01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   196443   196393      -    no    1 0.82   1.5   24.1   2.8e+02 !   Rugamonas sp. FT29W NODE_2_length_850571_cov_23.302748_2, whole genome shotgun sequence
DCTX01000026.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   237724   237756      +    no    1 0.85   0.2   24.1   2.8e+02 !   TPA_asm: Anaerolineales bacterium UBA1429 UBA1429_contig_5976, whole genome shotgun sequence
NZ_MUHU01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   282550   282597      +    no    1 0.75   0.1   24.1   2.8e+02 !   Derxia lacustris strain HL-12 isolate fresh water ctg_8, whole genome shotgun sequence
NZ_FNSV01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44289    44241      -    no    1 0.69   0.0   24.1   2.8e+02 !   Rhodococcus koreensis strain DSM 44498, whole genome shotgun sequence
NZ_FUKR01000036.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   236474   236419      -    no    1 0.73   0.0   24.1   2.8e+02 !   Mycetocola reblochoni REB411 strain EB411, whole genome shotgun sequence
DQBD01000202.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5201     5144      -    no    1 0.67   0.0   24.1   2.8e+02 !   TPA_asm: Gammaproteobacteria bacterium isolate UBA9582 contig_2481, whole genome shotgun sequence
NZ_NHSK01000121.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31095    31047      -    no    1 0.76   0.1   24.1   2.8e+02 !   Rhodoplanes elegans strain DSM 11907 scaffold0121, whole genome shotgun sequence
NZ_MVHC01000018.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    16578    16632      +    no    1 0.73   0.0   24.1   2.8e+02 !   Mycolicibacter algericus DSM 45454 Mycobacterium_algericum_DSM45454_contig18, whole genome shotgun sequence
NZ_LT605203.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1043007  1043072      +    no    1 0.73   0.0   24.1   2.8e+02 !   Thiomonas sp. X19 chromosome THIX, whole genome shotgun sequence
NZ_JAGGOK010000024.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    32165    32102      -    no    1 0.69   0.0   24.1   2.8e+02 !   Streptomyces sp. ISL-100 ISL100_24, whole genome shotgun sequence
NZ_PSRT01000102.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25788    25735      -    no    1 0.63   0.0   24.1   2.8e+02 !   Bradyrhizobium genosp. SA-3 strain Rp7b Contig102_, whole genome shotgun sequence
NZ_VIVU01000007.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    34902    34974      +    no    1 0.78   2.3   24.1   2.8e+02 !   Caulobacter henricii strain 536 Ga0365411_107, whole genome shotgun sequence
NZ_JQJN01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29392    29464      +    no    1 0.78   2.3   24.1   2.8e+02 !   Caulobacter henricii strain CF287 EW90DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_CP033073.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  6983328  6983273      -    no    1 0.73   0.0   24.1   2.8e+02 !   Streptomyces sp. Z022 chromosome, complete genome
NZ_AVFL01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   310809   310755      -    no    1 0.80   0.8   24.1   2.8e+02 !   Skermanella stibiiresistens SB22 contig1, whole genome shotgun sequence
CP036424.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2640297  2640352      +    no    1 0.68   0.0   24.1   2.8e+02 !   Planctomycetes bacterium MalM25 chromosome
VBDZ01000167.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1721     1768      +    no    1 0.77   0.0   24.1   2.8e+02 !   Chloroflexi bacterium isolate CF_13 14_1009_09_30cm_scaffold_1894, whole genome shotgun sequence
SHAP01000002.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   153830   153780      -    no    1 0.73   0.2   24.1   2.9e+02 !   Phycisphaeraceae bacterium isolate MED-G178 Phycisphaeraceae-MED-G178-C2, whole genome shotgun sequence
SJBG01000012.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    20393    20434      +    no    1 0.79   0.1   24.1   2.9e+02 !   Desulfobulbaceae bacterium isolate Del10 Del10_contig_12, whole genome shotgun sequence
JAEMTF010000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    91029    90978      -    no    1 0.71   0.0   24.1   2.9e+02 !   Williamsia sp. isolate SupBloom_Metag_028 NODE_46_length_99901_cov_39.349218, whole genome shotgun sequence
NZ_VDMS01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   355399   355447      +    no    1 0.76   0.0   24.1   2.9e+02 !   Nocardioides plantarum strain DSM 11054 Scaffold3_2, whole genome shotgun sequence
