#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_MAXA01000191.1    -         nhaA-I               RF03057    cm        1       55    22711    22659      -    no    1 0.74   0.1   32.0       3.9 ?   Frankia soli strain NRRL B-16219 contig_27, whole genome shotgun sequence
NZ_CP031229.1        -         nhaA-I               RF03057    cm        1       55    24737    24693      -    no    1 0.69   0.0   32.0       3.9 ?   Ornithinimicrobium avium strain AMA3305 chromosome, complete genome
NZ_JAHYSR010000022.1 -         nhaA-I               RF03057    cm        1       55    60043    60098      +    no    1 0.79   0.8   32.0       3.9 ?   Paracoccus bogoriensis strain BOG6 NODE_22_length_62609_cov_192.353515, whole genome shotgun sequence
NZ_BOOL01000021.1    -         nhaA-I               RF03057    cm        1       55   110090   110142      +    no    1 0.77   0.3   31.9       4.1 ?   Planomonospora parontospora subsp. parontospora strain NBRC 13880 sequence021, whole genome shotgun sequence
NZ_BDCX01000014.1    -         nhaA-I               RF03057    cm        1       55   110863   110811      -    no    1 0.77   0.3   31.9       4.1 ?   Planomonospora sphaerica strain JCM 9374, whole genome shotgun sequence
NZ_CP037867.1        -         nhaA-I               RF03057    cm        1       55  3968798  3968753      -    no    1 0.80   0.8   31.9       4.1 ?   Hydrogenophaga pseudoflava strain DSM 1084 chromosome, complete genome
NZ_VWPH01000004.1    -         nhaA-I               RF03057    cm        1       55   149783   149732      -    no    1 0.65   0.0   31.9       4.2 ?   Saccharopolyspora hirsuta strain VKM Ac-666 n4, whole genome shotgun sequence
NZ_JABSUS010000008.1 -         nhaA-I               RF03057    cm        1       55   261268   261203      -    no    1 0.73   0.1   31.8       4.3 ?   Streptomyces lunaelactis strain MMun143 NODE_8_length_388584_cov_22.8263, whole genome shotgun sequence
NZ_JACKXE010000001.1 -         nhaA-I               RF03057    cm        1       55  1873313  1873365      +    no    1 0.79   0.9   31.8       4.3 ?   Nocardioides luti strain KIGAM211 contig1, whole genome shotgun sequence
NZ_JACIBX010000003.1 -         nhaA-I               RF03057    cm        1       55   148211   148270      +    no    1 0.78   0.6   31.8       4.3 ?   Limimaricola variabilis strain CECT 8572 Ga0372421_03, whole genome shotgun sequence
NZ_SAIY01000007.1    -         nhaA-I               RF03057    cm        1       55   116365   116411      +    no    1 0.74   0.0   31.8       4.4 ?   Verrucosispora sioxanthis strain CWR15 Contig_7, whole genome shotgun sequence
NZ_JODS01000002.1    -         nhaA-I               RF03057    cm        1       55    90951    91013      +    no    1 0.75   0.2   31.6       4.8 ?   Kitasatospora purpeofusca strain NRRL B-1817 contig2.1, whole genome shotgun sequence
NC_008278.1          -         nhaA-I               RF03057    cm        1       55  5161701  5161645      -    no    1 0.74   0.1   31.6       4.8 ?   Frankia alni ACN14a, complete sequence
NZ_WHPN01000430.1    -         nhaA-I               RF03057    cm        1       55    23658    23607      -    no    1 0.77   0.1   31.6       4.9 ?   Streptomyces lycii strain TRM 66187 1297, whole genome shotgun sequence
NZ_BAYA01000048.1    -         nhaA-I               RF03057    cm        1       55    30643    30697      +    no    1 0.65   0.0   31.6       4.9 ?   Paraburkholderia bannensis NBRC 103871, whole genome shotgun sequence
NZ_NBIM01000001.1    -         nhaA-I               RF03057    cm        1       55   321803   321853      +    no    1 0.73   0.1   31.5       5.1 ?   Oceanimonas doudoroffii strain ATCC 27123 NODE_1_length_2085155_cov_67.334, whole genome shotgun sequence
NZ_JAATVW010000025.1 -         nhaA-I               RF03057    cm        1       55    16698    16639      -    no    1 0.65   0.0   31.5       5.1 ?   Planosporangium flavigriseum strain TBRC 198 25, whole genome shotgun sequence
NZ_AVEP02000333.1    -         nhaA-I               RF03057    cm        1       55    10464    10526      +    no    1 0.63   0.0   31.5       5.1 ?   Pseudomonas avellanae strain CC1416 contig333.1, whole genome shotgun sequence
NC_004578.1          -         nhaA-I               RF03057    cm        1       55  1837775  1837713      -    no    1 0.63   0.0   31.5       5.1 ?   Pseudomonas syringae pv. tomato str. DC3000, complete sequence
NZ_CP023697.1        -         nhaA-I               RF03057    cm        1       55  2174254  2174199      -    no    1 0.79   0.4   31.5       5.2 ?   Streptomyces prasinus strain ATCC 13879 chromosome, complete genome
NZ_SDKK01000011.1    -         nhaA-I               RF03057    cm        1       55   144227   144162      -    no    1 0.67   0.0   31.5       5.3 ?   Zoogloea oleivorans strain Buc BUC_nxtrim.se_trimmed_contig_47, whole genome shotgun sequence
NZ_VOHR01000415.1    -         nhaA-I               RF03057    cm        1       55     1272     1328      +    no    1 0.65   0.0   31.4       5.6 ?   Segeticoccus rhizosphaerae strain YJ01 415, whole genome shotgun sequence
NZ_SWMA01000011.1    -         nhaA-I               RF03057    cm        1       55      304      248      -    no    1 0.65   0.0   31.4       5.6 ?   Ornithinicoccus soli strain XNB-1 WT-5_scaffold11, whole genome shotgun sequence
NZ_VFOK01000001.1    -         nhaA-I               RF03057    cm        1       55  2222591  2222648      +    no    1 0.71   0.0   31.4       5.6 ?   Barrientosiimonas humi strain DSM 24617 Ga0264280_11, whole genome shotgun sequence
NZ_BMRW01000003.1    -         nhaA-I               RF03057    cm        1       55   615287   615341      +    no    1 0.78   0.5   31.4       5.6 ?   Streptomyces netropsis strain JCM 4063 sequence03, whole genome shotgun sequence
NZ_BMML01000025.1    -         nhaA-I               RF03057    cm        1       55    92331    92270      -    no    1 0.81   3.4   31.3       5.8 ?   Streptomyces fuscichromogenes strain CGMCC 4.7110 sequence025, whole genome shotgun sequence
NZ_FQVX01000002.1    -         nhaA-I               RF03057    cm        1       55   281216   281273      +    no    1 0.76   0.2   31.3       5.8 ?   Geodermatophilus nigrescens strain DSM 45408, whole genome shotgun sequence
NZ_FOYD01000005.1    -         nhaA-I               RF03057    cm        1       55   111467   111524      +    no    1 0.66   0.0   31.3       5.9 ?   Halopseudomonas formosensis strain JCM 18415, whole genome shotgun sequence
NZ_LNCI01000010.1    -         nhaA-I               RF03057    cm        1       55   204008   204046      +    no    1 0.69   0.0   31.3       5.9 ?   Pseudoruegeria marinistellae strain SF-16 contig10, whole genome shotgun sequence
NZ_AUEA01000009.1    -         nhaA-I               RF03057    cm        1       55    59942    59994      +    no    1 0.72   0.0   31.3       5.9 ?   Pseudomonas cremoricolorata DSM 17059 = NBRC 16634 strain DSM 17059 H618DRAFT_scaffold00008.8_C, whole genome shotgun sequence
NZ_SDWT01000001.1    -         nhaA-I               RF03057    cm        1       55  3014485  3014536      +    no    1 0.71   0.0   31.2       6.3 ?   Nocardioides oleivorans strain CGMCC 4.6882 NODE_1_length_3298636_cov_122.734134, whole genome shotgun sequence
NZ_SRXO01000002.1    -         nhaA-I               RF03057    cm        1       55   269409   269351      -    no    1 0.63   0.0   31.2       6.3 ?   Siccirubricoccus phaeus strain 1-3 Scaffold2, whole genome shotgun sequence
NZ_RHQU01000011.1    -         nhaA-I               RF03057    cm        1       55    77149    77092      -    no    1 0.64   0.0   31.1       6.3 ?   Pseudomonas saudiphocaensis strain PS_399 NODE_11_length_116363_cov_24.114743, whole genome shotgun sequence
NZ_RAZS01000010.1    -         nhaA-I               RF03057    cm        1       55   194829   194891      +    no    1 0.79   1.4   31.0       6.8 ?   Micromonospora musae strain NGC1-4 contig0010, whole genome shotgun sequence
NZ_UEXK01000021.1    -         nhaA-I               RF03057    cm        1       55      137      193      +    no    1 0.75   0.1   31.0       6.8 ?   Klenkia terrae strain IHUMI-26.3, whole genome shotgun sequence
NZ_CP049017.1        -         nhaA-I               RF03057    cm        1       55  3443433  3443494      +    no    1 0.73   0.6   31.0       6.8 ?   Xanthomonas theicola strain CFBP 4691 chromosome, complete genome
NZ_JAFBBZ010000001.1 -         nhaA-I               RF03057    cm        5       55  1908262  1908208      -    no    1 0.78   0.5   31.0       6.9 ?   Nocardioides salarius strain DSM 18239 Ga0451140_01, whole genome shotgun sequence
NZ_FMZW01000088.1    -         nhaA-I               RF03057    cm        1       55     4428     4377      -    no    1 0.67   0.0   31.0       6.9 ?   Bradyrhizobium brasilense strain R5, whole genome shotgun sequence
NZ_BJYZ01000003.1    -         nhaA-I               RF03057    cm        1       55   116184   116133      -    no    1 0.67   0.0   31.0         7 ?   Skermanella aerolata strain NBRC 106429 sequence003, whole genome shotgun sequence
NZ_QXXQ01000010.1    -         nhaA-I               RF03057    cm        1       55    79652    79582      -    no    1 0.61   0.0   31.0         7 ?   Gemmobacter lutimaris strain YJ-T1-11 scaffold_10, whole genome shotgun sequence
NZ_VOQQ01000001.1    -         nhaA-I               RF03057    cm        1       55  2992070  2992123      +    no    1 0.78   0.2   30.9       7.1 ?   Sphingosinicella ginsenosidimutans strain BS-11 0BS11, whole genome shotgun sequence
NZ_KB891104.1        -         nhaA-I               RF03057    cm        1       55   127978   128030      +    no    1 0.75   0.1   30.9       7.3 ?   Frankia discariae strain BCU110501 B056DRAFT_scaffold_10.11, whole genome shotgun sequence
NZ_LT607410.1        -         nhaA-I               RF03057    cm        1       55   534679   534737      +    no    1 0.80   1.4   30.8       7.6 ?   Micromonospora purpureochromogenes strain DSM 43821 chromosome I
NZ_JAFIDA010000001.1 -         nhaA-I               RF03057    cm        1       55  2555270  2555315      +    no    1 0.72   0.0   30.8       7.6 ?   Leucobacter exalbidus strain DSM 22850 Ga0451157_01, whole genome shotgun sequence
NZ_LT629777.1        -         nhaA-I               RF03057    cm        1       55  6027835  6027777      -    no    1 0.71   0.0   30.8       7.7 ?   Pseudomonas asplenii strain ATCC 23835 chromosome I
NZ_VIXA01000002.1    -         nhaA-I               RF03057    cm        1       55  1097872  1097930      +    no    1 0.80   1.8   30.8       7.8 ?   Micromonospora palomenae strain DSM 102131 Ga0264319_12, whole genome shotgun sequence
NZ_JAAZSQ010000001.1 -         nhaA-I               RF03057    cm        1       55   239376   239452      +    no    1 0.71   0.0   30.8       7.9 ?   Arthrobacter mobilis strain E918 scaffold377_509896, whole genome shotgun sequence
NZ_CP040915.1        -         nhaA-I               RF03057    cm        1       55   938636   938585      -    no    1 0.75   0.0   30.7       7.9 ?   Georgenia yuyongxinii strain Z443 chromosome, complete genome
NZ_CP023445.1        -         nhaA-I               RF03057    cm        1       55  1362790  1362840      +    no    1 0.75   0.0   30.7         8 ?   Actinosynnema pretiosum strain X47 chromosome, complete genome
NC_013093.1          -         nhaA-I               RF03057    cm        1       55  1380294  1380344      +    no    1 0.75   0.0   30.7         8 ?   Actinosynnema mirum DSM 43827, complete sequence
NZ_CP038256.1        -         nhaA-I               RF03057    cm        1       55  1504925  1504978      +    no    1 0.76   0.1   30.7       8.1 ?   Microbacterium sediminis strain YLB-01 chromosome, complete genome
NZ_NISI01000003.1    -         nhaA-I               RF03057    cm        1       55    23095    23150      +    no    1 0.75   0.6   30.6       8.7 ?   Pelomonas puraquae strain CCUG 52769 Scaffold3_1, whole genome shotgun sequence
NZ_BNDY01000002.1    -         nhaA-I               RF03057    cm        1       55  1189194  1189250      +    no    1 0.75   0.1   30.5       8.9 ?   Streptomyces violascens strain NBRC 12920 sequence02, whole genome shotgun sequence
NZ_JACHIW010000001.1 -         nhaA-I               RF03057    cm        1       55  5755735  5755792      +    no    1 0.72   0.0   30.5         9 ?   Saccharopolyspora phatthalungensis strain DSM 45584 Ga0436922_01, whole genome shotgun sequence
NZ_CP029353.1        -         nhaA-I               RF03057    cm        1       55  1548501  1548450      -    no    1 0.69   0.0   30.3       9.9 ?   Azospirillum thermophilum strain CFH 70021 chromosome 2, complete sequence
NZ_NETK01000001.1    -         nhaA-I               RF03057    cm        1       55  3116498  3116582      +    no    1 0.55   0.0   30.3       9.9 ?   Nannocystis exedens strain DSM 71 utg0, whole genome shotgun sequence
NZ_CP012401.1        -         nhaA-I               RF03057    cm        1       55  2561078  2561129      +    no    1 0.67   0.0   30.3        10 ?   Azospirillum thiophilum strain BV-S chromosome 1, complete sequence
NZ_JACHOW010000010.1 -         nhaA-I               RF03057    cm        1       55   142286   142342      +    no    1 0.77   0.3   30.3        10 ?   Longimicrobium terrae strain CECT 8660 Ga0372432_10, whole genome shotgun sequence
NZ_FWFZ01000006.1    -         nhaA-I               RF03057    cm        1       55   164028   163980      -    no    1 0.76   0.0   30.3        10 ?   Roseisalinus antarcticus strain CECT 7023, whole genome shotgun sequence
NZ_KB907876.1        -         nhaA-I               RF03057    cm        1       55    43539    43597      +    no    1 0.63   0.0   30.3        10 ?   Kushneria aurantia DSM 21353 H146DRAFT_scaffold00015.15, whole genome shotgun sequence
NZ_RYFI01000001.1    -         nhaA-I               RF03057    cm        1       55   293996   294037      +    no    1 0.74   0.0   30.3        10 ?   Hansschlegelia zhihuaiae strain S 113 Scaffold1, whole genome shotgun sequence
NZ_JADKMA010000321.1 -         nhaA-I               RF03057    cm        1       55     3067     3127      +    no    1 0.82   3.7   30.3        10 ?   Streptomyces oryzae strain S16-07 NODE_321_length_4657_cov_182.079029, whole genome shotgun sequence
NZ_WHUG01000001.1    -         nhaA-I               RF03057    cm        1       55   348141   348083      -    no    1 0.76   0.1   30.2        10 ?   Rugamonas aquatica strain FT29W NODE_1_length_975668_cov_22.732272_1, whole genome shotgun sequence
NZ_CP086111.1        -         nhaA-I               RF03057    cm        1       55   475962   476009      +    no    1 0.75   0.1   30.2        11 ?   Skermanella rosea strain KEMB 2255-458 chromosome, complete genome
NZ_RKRA01000001.1    -         nhaA-I               RF03057    cm        1       55   717190   717248      +    no    1 0.76   0.4   30.2        11 ?   Georgenia muralis strain DSM 14418 Ga0197525_11, whole genome shotgun sequence
NZ_JACHGN010000004.1 -         nhaA-I               RF03057    cm        1       55   232367   232434      +    no    1 0.69   0.0   30.2        11 ?   Thermocatellispora tengchongensis strain DSM 45615 Ga0415383_04, whole genome shotgun sequence
NZ_FRCA01000010.1    -         nhaA-I               RF03057    cm        1       55   141766   141860      +    no    1 0.66   0.0   30.2        11 ?   Halomonas cupida strain DSM 4740, whole genome shotgun sequence
NZ_VUOC01000002.1    -         nhaA-I               RF03057    cm        1       55   385520   385459      -    no    1 0.53   0.0   30.2        11 ?   Chitinophaga agrisoli strain BN140078 contig_2, whole genome shotgun sequence
NZ_FONZ01000002.1    -         nhaA-I               RF03057    cm        1       55     2973     2919      -    no    1 0.76   0.1   30.2        11 ?   Flavimobilis marinus strain DSM 19083, whole genome shotgun sequence
NZ_JACOPX010000009.1 -         nhaA-I               RF03057    cm        1       55    11033    10963      -    no    1 0.62   0.0   30.2        11 ?   Pseudomonas neuropathica strain P155 Seq9, whole genome shotgun sequence
NZ_JAGYHF010000011.1 -         nhaA-I               RF03057    cm        1       55   224345   224415      +    no    1 0.63   0.0   30.2        11 ?   Pseudomonas rustica strain MBT-4 PS59_contig_12, whole genome shotgun sequence
NZ_BLKV01000001.1    -         nhaA-I               RF03057    cm        1       55   884185   884127      -    no    1 0.78   0.6   30.1        11 ?   Mycolicibacter senuensis strain JCM 16017 sequence1, whole genome shotgun sequence
NZ_QGKR01000208.1    -         nhaA-I               RF03057    cm        1       55     9372     9322      -    no    1 0.78   0.1   30.1        11 ?   Micromonospora acroterricola strain 5R2A7 NODE_17_length_56445_cov_11.6747_ID_33, whole genome shotgun sequence
NZ_PYBV01000013.1    -         nhaA-I               RF03057    cm        1       55   125484   125411      -    no    1 0.70   0.3   30.1        11 ?   Micromonospora arborensis strain NRRL 8041 Micromonospora_arborensis_8041_contig_13, whole genome shotgun sequence
NZ_VIWT01000001.1    -         nhaA-I               RF03057    cm        1       55  2821191  2821121      -    no    1 0.76   1.2   30.1        11 ?   Kitasatospora viridis strain DSM 44826 Ga0264275_11, whole genome shotgun sequence
NZ_CP046175.1        -         nhaA-I               RF03057    cm        1       55    46708    46765      +    no    1 0.78   0.5   30.1        12 ?   Occultella kanbiaonis strain HY044 chromosome, complete genome
NZ_CP022521.1        -         nhaA-I               RF03057    cm        1       55   285847   285927      +    no    1 0.72   0.1   30.0        12 ?   Actinoalloteichus hoggarensis strain DSM 45943 chromosome, complete genome
NZ_POSP01000003.1    -         nhaA-I               RF03057    cm        1       55  2640555  2640618      +    no    1 0.80   2.0   30.0        12 ?   Paucibacter aquatile strain CR182 CR182_seq3, whole genome shotgun sequence
NZ_CP035704.1        -         nhaA-I               RF03057    cm        3       55  1887730  1887781      +    no    1 0.77   0.1   30.0        12 ?   Pseudolysobacter antarcticus strain AQ6-296 chromosome, complete genome
NZ_JAGINT010000002.1 -         nhaA-I               RF03057    cm        1       55  1950222  1950278      +    no    1 0.72   0.0   30.0        12 ?   Kribbella aluminosa strain DSM 18824 Ga0451098_02, whole genome shotgun sequence
NZ_LT629762.1        -         nhaA-I               RF03057    cm        1       55  4081715  4081776      +    no    1 0.56   0.0   29.9        13 ?   Pseudomonas prosekii strain LMG 26867 chromosome I
NZ_JZUE01000024.1    -         nhaA-I               RF03057    cm        1       55    62759    62706      -    no    1 0.74   0.1   29.9        13 ?   Aquincola tertiaricarbonis strain MIMtkpLc11 contig24, whole genome shotgun sequence
NZ_VIGW01000017.1    -         nhaA-I               RF03057    cm        1       55    55192    55152      -    no    1 0.78   0.2   29.9        13 ?   Tsukamurella asaccharolytica strain HKU71 NODE_17_length_58084_cov_112.484342, whole genome shotgun sequence
NZ_NKYE01000022.1    -         nhaA-I               RF03057    cm        1       55    43588    43534      -    no    1 0.71   0.0   29.8        13 ?   Amycolatopsis antarctica strain AU-G6 NODE_22_length_102654_cov_223.199, whole genome shotgun sequence
NZ_JACHJK010000002.1 -         nhaA-I               RF03057    cm        1       55   633262   633209      -    no    1 0.74   0.0   29.8        14 ?   Streptomyces echinatus strain CECT 3313 Ga0436950_02, whole genome shotgun sequence
NZ_JXSX01000001.1    -         nhaA-I               RF03057    cm        1       55  2191105  2191157      +    no    1 0.75   0.1   29.8        14 ?   Micromonospora haikouensis strain JXNU-1 contig1, whole genome shotgun sequence
NZ_QLVD01000023.1    -         nhaA-I               RF03057    cm        1       55   273499   273437      -    no    1 0.76   2.4   29.8        14 ?   Ornithinimicrobium murale strain DSM 22056 s22056_Contig2, whole genome shotgun sequence
NZ_BMWE01000012.1    -         nhaA-I               RF03057    cm        1       55    90031    89979      -    no    1 0.79   0.4   29.8        14 ?   Streptomyces djakartensis strain JCM 4957 sequence012, whole genome shotgun sequence
NZ_BMMQ01000007.1    -         nhaA-I               RF03057    cm        1       55    67250    67192      -    no    1 0.78   0.5   29.8        14 ?   Microbacterium nanhaiense strain CGMCC 4.7181 sequence07, whole genome shotgun sequence
NZ_UPHU01000001.1    -         nhaA-I               RF03057    cm        1       55  3921497  3921446      -    no    1 0.77   0.1   29.8        14 ?   Mycobacterium pseudokansasii strain MK142, whole genome shotgun sequence
NZ_BJZU01000061.1    -         nhaA-I               RF03057    cm        1       55    36054    35999      -    no    1 0.77   0.2   29.8        14 ?   Methylobacterium oxalidis strain NBRC 107715 sequence061, whole genome shotgun sequence
NZ_KB913036.1        -         nhaA-I               RF03057    cm        1       55  4655626  4655571      -    no    1 0.79   0.3   29.7        14 ?   Salinispora arenicola DSM 45545 strain CNS-991 scaffold1, whole genome shotgun sequence
NZ_SDPT01000004.1    -         nhaA-I               RF03057    cm        1       55    36347    36306      -    no    1 0.69   0.0   29.7        14 ?   Sphingomonas desiccabilis strain CP1D NODE_4_length_173067_cov_39.519290, whole genome shotgun sequence
NZ_BMWB01000001.1    -         nhaA-I               RF03057    cm        1       55   726261   726326      +    no    1 0.74   0.1   29.7        14 ?   Streptomyces xantholiticus strain JCM 4863 sequence01, whole genome shotgun sequence
NZ_BHZD01000001.1    -         nhaA-I               RF03057    cm        1       55   752100   752190      +    no    1 0.75   2.4   29.6        15 ?   Streptomyces paromomycinus strain NBRC 15454 sequence1, whole genome shotgun sequence
NZ_FQZG01000034.1    -         nhaA-I               RF03057    cm        1       55    32557    32503      -    no    1 0.67   0.0   29.6        15 ?   Tessaracoccus bendigoensis DSM 12906, whole genome shotgun sequence
NZ_JAHSTS010000001.1 -         nhaA-I               RF03057    cm        1       55  1391561  1391508      -    no    1 0.70   0.0   29.6        15 ?   Pseudomonas ekonensis strain COR58 1, whole genome shotgun sequence
NZ_VIWT01000001.1    -         nhaA-I               RF03057    cm        1       55  4360700  4360645      -    no    1 0.77   0.6   29.6        15 ?   Kitasatospora viridis strain DSM 44826 Ga0264275_11, whole genome shotgun sequence
NZ_SMOA01000382.1    -         nhaA-I               RF03057    cm        1       55      158      221      +    no    1 0.73   0.2   29.6        15 ?   Paracraurococcus ruber strain JCM9931 NODE_382_length_4126_cov_5.569039, whole genome shotgun sequence
NZ_CP060783.1        -         nhaA-I               RF03057    cm        1       55  3710995  3710953      -    no    1 0.81   0.7   29.6        15 ?   Diaphorobacter aerolatus strain KACC 16536 chromosome, complete genome
NZ_JAAEEH010000006.1 -         nhaA-I               RF03057    cm        1       55    50785    50838      +    no    1 0.74   0.2   29.6        15 ?   Anaerotalea alkaliphila strain F-3ap NODE_6_length_98235_cov_60.921189, whole genome shotgun sequence
NZ_BMNF01000006.1    -         nhaA-I               RF03057    cm        1       55   121333   121407      +    no    1 0.75   1.3   29.6        15 ?   Micromonospora parathelypteridis strain CGMCC 4.7347 sequence06, whole genome shotgun sequence
NZ_JNIX01000007.1    -         nhaA-I               RF03057    cm        1       55     9796     9863      +    no    1 0.66   0.0   29.6        15 ?   Brevundimonas bacteroides DSM 4726 Q333DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_BOMY01000053.1    -         nhaA-I               RF03057    cm        1       55    25511    25554      +    no    1 0.77   0.1   29.5        15 ?   Actinoplanes tereljensis strain NBRC 105297 sequence53, whole genome shotgun sequence
NZ_VSRQ01000006.1    -         nhaA-I               RF03057    cm        1       55   293092   293148      +    no    1 0.77   0.2   29.5        16 ?   Actinomadura decatromicini strain CYP1-5 NODE_6, whole genome shotgun sequence
NZ_VFMM01000002.1    -         nhaA-I               RF03057    cm        1       55   353691   353747      +    no    1 0.74   0.2   29.5        16 ?   Kribbella jejuensis strain DSM 17305 Ga0197573_12, whole genome shotgun sequence
NZ_VKHS01000533.1    -         nhaA-I               RF03057    cm        1       55     3392     3436      +    no    1 0.80   0.3   29.5        16 ?   Streptomyces calidiresistens strain DSM 42108 NODE_533, whole genome shotgun sequence
NZ_QNRC01000011.1    -         nhaA-I               RF03057    cm        1       55   133749   133679      -    no    1 0.73   0.1   29.5        16 ?   Paracoccus siganidrum strain M26 Scaffold11, whole genome shotgun sequence
NZ_QKYU01000002.1    -         nhaA-I               RF03057    cm        1       55   183542   183615      +    no    1 0.72   0.2   29.5        16 ?   Humitalea rosea strain DSM 24525 Ga0183458_102, whole genome shotgun sequence
NZ_JACCFK010000001.1 -         nhaA-I               RF03057    cm        1       55  3192007  3192062      +    no    1 0.77   0.2   29.5        16 ?   Amycolatopsis endophytica strain DSM 104006 Ga0374050_01, whole genome shotgun sequence
NZ_BAFQ01000160.1    -         nhaA-I               RF03057    cm        1       55    12833    12777      -    no    1 0.65   0.0   29.4        16 ?   Nocardia aobensis NBRC 100429, whole genome shotgun sequence
NZ_CP068034.2        -         nhaA-I               RF03057    cm        1       55  4392340  4392402      +    no    1 0.67   0.0   29.4        17 ?   Pseudomonas syringae strain BIM B-268 chromosome, complete genome
NZ_AWQP01000030.1    -         nhaA-I               RF03057    cm        1       55     9997    10059      +    no    1 0.67   0.0   29.4        17 ?   Pseudomonas syringae pv. coryli str. NCPPB 4273 contig30, whole genome shotgun sequence
NZ_ANBD01000117.1    -         nhaA-I               RF03057    cm        1       55    17690    17736      +    no    1 0.79   0.3   29.4        17 ?   Nocardiopsis alkaliphila YIM 80379 contig_117, whole genome shotgun sequence
NZ_FWXV01000001.1    -         nhaA-I               RF03057    cm        1       55  1904998  1904950      -    no    1 0.73   0.0   29.4        17 ?   Kibdelosporangium aridum strain DSM 43828, whole genome shotgun sequence
NZ_CAACUZ010000026.1 -         nhaA-I               RF03057    cm        1       55    43015    42959      -    no    1 0.74   0.0   29.4        17 ?   Actinomadura formosensis isolate LMG 29178, whole genome shotgun sequence
NZ_FONG01000003.1    -         nhaA-I               RF03057    cm        1       55    53248    53301      +    no    1 0.81   3.8   29.4        17 ?   Streptomyces alni strain CGMCC 4.3510, whole genome shotgun sequence
NZ_JADIKC010000014.1 -         nhaA-I               RF03057    cm        1       55    73649    73692      +    no    1 0.75   0.0   29.3        17 ?   Dyella kyungheensis strain THG-B117 scaffold14_size75334, whole genome shotgun sequence
NZ_MSIF01000027.1    -         nhaA-I               RF03057    cm        1       55   123822   123872      +    no    1 0.73   0.1   29.2        18 ?   Actinophytocola xinjiangensis strain CGMCC 4.4663 contig27, whole genome shotgun sequence
NZ_QZEV01000042.1    -         nhaA-I               RF03057    cm        1       55     7557     7609      +    no    1 0.68   0.0   29.1        19 ?   Paracoccus aestuarii strain DSM 19484 NODE_42_length_26148_cov_42.0687, whole genome shotgun sequence
NZ_FNUD01000002.1    -         nhaA-I               RF03057    cm        1       55  3787869  3787922      +    no    1 0.72   0.0   29.1        20 ?   Pseudomonas deceptionensis strain LMG 25555, whole genome shotgun sequence
NZ_VDFU01000050.1    -         nhaA-I               RF03057    cm        1       55     4176     4232      +    no    1 0.74   0.1   29.1        20 ?   Rubellimicrobium rubrum strain YIM 131921 Scaffold48_1, whole genome shotgun sequence
NZ_BOMQ01000015.1    -         nhaA-I               RF03057    cm        1       55     4990     5037      +    no    1 0.75   0.1   29.1        20 ?   Actinoplanes nipponensis strain NBRC 14063 sequence015, whole genome shotgun sequence
NZ_VIGB01000003.1    -         nhaA-I               RF03057    cm        1       55  4760585  4760631      +    no    1 0.81   0.5   29.1        20 ?   Kitasatospora acidiphila strain MMS16-CNU292 contig.1, whole genome shotgun sequence
NZ_CP022088.2        -         nhaA-I               RF03057    cm        1       55  6769372  6769420      +    no    1 0.76   0.1   29.1        20 ?   Nocardia brasiliensis strain FDAARGOS_352 chromosome, complete genome
NZ_BDCI01000007.1    -         nhaA-I               RF03057    cm        1       55   185380   185332      -    no    1 0.76   0.1   29.1        20 ?   Nocardia vulneris strain NBRC 108936, whole genome shotgun sequence
NZ_OBEG01000004.1    -         nhaA-I               RF03057    cm        1       55   529849   529897      +    no    1 0.76   0.1   29.1        20 ?   Nocardia amikacinitolerans strain DSM 45537, whole genome shotgun sequence
NZ_AP023354.1        -         nhaA-I               RF03057    cm        1       55  5250011  5249964      -    no    1 0.77   0.0   29.1        20 ?   Actinocatenispora sera strain NBRC 101916 chromosome
NZ_JAGEPF010000002.1 -         nhaA-I               RF03057    cm        1       55   161945   162003      +    no    1 0.78   0.5   29.1        20 ?   Actinomadura violacea strain LCR2-06 NODE_2_length_459802_cov_25.082476, whole genome shotgun sequence
NZ_FOSL01000005.1    -         nhaA-I               RF03057    cm        1       55    81557    81512      -    no    1 0.76   0.1   29.1        20 ?   Mesorhizobium albiziae strain DSM 21822, whole genome shotgun sequence
NZ_NKFA01000008.1    -         nhaA-I               RF03057    cm        1       55   217222   217275      +    no    1 0.76   0.3   29.1        20 ?   Burkholderia aenigmatica strain AU17325 NODE_9_length_248820_cov_31.8005, whole genome shotgun sequence
NZ_CP029830.1        -         nhaA-I               RF03057    cm        1       55   384402   384455      +    no    1 0.76   0.1   29.0        20 ?   Azospirillum ramasamyi strain M2T2B2 plasmid unnamed1, complete sequence
NZ_VCKZ01000565.1    -         nhaA-I               RF03057    cm        1       55      237      181      -    no    1 0.75   0.3   29.0        20 ?   Actinomadura geliboluensis strain A8036 NODE_840_length_4837_cov_5.5327, whole genome shotgun sequence
