#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         nhaA-I               RF03057    cm        1       55     2831     2779      -    no    1 0.75   0.1   62.7   4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_BMQC01000001.1    -         nhaA-I               RF03057    cm        1       55   543063   543020      -    no    1 0.82   0.7   27.2   1.7e+02 !   Pilimelia terevasa strain JCM 3091 sequence01, whole genome shotgun sequence
NZ_JAFIQX010000003.1 -         nhaA-I               RF03057    cm        1       55   481753   481787      +    no    1 0.74   0.0   27.2   1.7e+02 !   Niastella sp. SYSU D00799 NODE_3_length_724652_cov_14.072881, whole genome shotgun sequence
RGUW01000094.1       -         nhaA-I               RF03057    cm        1       55     3511     3463      -    no    1 0.80   0.4   27.2   1.8e+02 !   Synechococcaceae bacterium WB9_2_112 contig_100_93, whole genome shotgun sequence
CAIVHI010000391.1    -         nhaA-I               RF03057    cm        1       55     2825     2787      -    no    1 0.67   0.0   27.2   1.8e+02 !   uncultured Bacteroidetes bacterium isolate Umea_bin-04691 genome assembly, contig: bin-04691:391/523, whole genome shotgun sequence
NZ_SPVG01000053.1    -         nhaA-I               RF03057    cm        1       55      951     1006      +    no    1 0.73   0.0   27.2   1.8e+02 !   Duganella callida strain DN04 EFN1C9WQ1J, whole genome shotgun sequence
JAFAXH010000015.1    -         nhaA-I               RF03057    cm        1       55    27843    27786      -    no    1 0.74   0.5   27.2   1.8e+02 !   MAG: Verrucomicrobia bacterium isolate CP_BM_RX_83 BM_RX_k147_8244240, whole genome shotgun sequence
JAGFNW010000035.1    -         nhaA-I               RF03057    cm        1       55    31231    31286      +    no    1 0.73   0.0   27.2   1.8e+02 !   Streptosporangiaceae bacterium NEAU-GS5 Scaffold35, whole genome shotgun sequence
NZ_BANS01000004.1    -         nhaA-I               RF03057    cm        1       55    67028    67084      +    no    1 0.74   0.1   27.2   1.8e+02 !   Gordonia amicalis NBRC 100051 = JCM 11271 strain NBRC 100051, whole genome shotgun sequence
NZ_KL571061.1        -         nhaA-I               RF03057    cm        1       55    15994    15948      -    no    1 0.77   0.1   27.2   1.8e+02 !   Streptomyces monomycini strain NRRL B-24309 P063_Doro1_scaffold11, whole genome shotgun sequence
JACMOQ010000350.1    -         nhaA-I               RF03057    cm        1       55      170      224      +    no    1 0.76   0.1   27.2   1.8e+02 !   Acetobacteraceae bacterium isolate LF-bin-273 FL-bin-273-contig-k141_1324493, whole genome shotgun sequence
NZ_VSEY01000052.1    -         nhaA-I               RF03057    cm        1       55    40911    40977      +    no    1 0.75   0.2   27.2   1.8e+02 !   Nonomuraea sp. PA05 52, whole genome shotgun sequence
PXRA01000113.1       -         nhaA-I               RF03057    cm        1       55     5731     5678      -    no    1 0.76   0.1   27.2   1.8e+02 !   Halobacteriales archaeon QH_8_64_26 qh_8_scaffold_829, whole genome shotgun sequence
NZ_VOJI01000001.1    -         nhaA-I               RF03057    cm        1       55   545920   545861      -    no    1 0.70   0.0   27.2   1.8e+02 !   Puniceibacterium confluentis strain JSSK-17 52765_scaffold1, whole genome shotgun sequence
NZ_FTNF01000017.1    -         nhaA-I               RF03057    cm        1       55    76955    76867      -    no    1 0.73   0.4   27.1   1.8e+02 !   Micromonospora avicenniae strain DSM 45758, whole genome shotgun sequence
NZ_BONC01000020.1    -         nhaA-I               RF03057    cm        1       55    66607    66555      -    no    1 0.77   0.6   27.1   1.8e+02 !   Asanoa iriomotensis strain NBRC 100142 sequence020, whole genome shotgun sequence
CAIOSQ010000364.1    -         nhaA-I               RF03057    cm        1       55     9808     9861      +    no    1 0.72   0.0   27.1   1.8e+02 !   uncultured Rhodospirillales bacterium isolate Loclat_bin-04156 genome assembly, contig: bin-04156:364/468, whole genome shotgun sequence
NZ_LIXI01000008.1    -         nhaA-I               RF03057    cm        1       55   230298   230244      -    no    1 0.69   0.1   27.1   1.8e+02 !   Streptomyces sp. CB00316 scaffold8, whole genome shotgun sequence
DIZC01000075.1       -         nhaA-I               RF03057    cm        1       55    13335    13396      +    no    1 0.66   0.1   27.1   1.8e+02 !   TPA_asm: Alphaproteobacteria bacterium UBA6038 UBA6038_contig_335, whole genome shotgun sequence
NZ_LZLE01000191.1    -         nhaA-I               RF03057    cm        1       55     4560     4615      +    no    1 0.77   0.3   27.1   1.8e+02 !   Mycobacterium sp. 1423905.2 contig_270, whole genome shotgun sequence
NZ_AP019700.1        -         nhaA-I               RF03057    cm        1       55  2181502  2181553      +    no    1 0.73   0.3   27.1   1.8e+02 !   Stella humosa strain ATCC 43930 chromosome, complete genome
NZ_KQ948155.1        -         nhaA-I               RF03057    cm        1       55   140547   140498      -    no    1 0.74   0.2   27.1   1.8e+02 !   Streptomyces pseudovenezuelae strain DSM 40212 PRJNA299220_s012, whole genome shotgun sequence
JACCXW010000383.1    -         nhaA-I               RF03057    cm        1       55     2145     2186      +    no    1 0.74   0.0   27.1   1.8e+02 !   Geodermatophilaceae bacterium isolate MGR_bin188 SD2897-2912_k127_6816495, whole genome shotgun sequence
NZ_BMPQ01000038.1    -         nhaA-I               RF03057    cm        1       55    42513    42465      -    no    1 0.78   0.3   27.1   1.8e+02 !   Streptomyces flaveus strain JCM 3035 sequence038, whole genome shotgun sequence
NZ_RKQF01000001.1    -         nhaA-I               RF03057    cm        1       55  2812367  2812318      -    no    1 0.74   0.0   27.1   1.8e+02 !   Streptomyces sp. Ag109_O5-1 Ga0299881_11, whole genome shotgun sequence
DROE01000183.1       -         nhaA-I               RF03057    cm        1       55     6639     6586      -    no    1 0.63   0.0   27.1   1.8e+02 !   MAG TPA_asm: Devosia sp. isolate HyVt-528 HyVt-528_k145_431296, whole genome shotgun sequence
NZ_BBJS01000030.1    -         nhaA-I               RF03057    cm        1       55   182119   182065      -    no    1 0.78   0.3   27.1   1.8e+02 !   Sphingomonas paucimobilis NBRC 13935, whole genome shotgun sequence
DRNU01000209.1       -         nhaA-I               RF03057    cm        1       55     2380     2324      -    no    1 0.60   0.0   27.1   1.8e+02 !   TPA_asm: Gammaproteobacteria bacterium isolate HyVt-519 HyVt-519_k145_769575, whole genome shotgun sequence
NZ_LT629766.1        -         nhaA-I               RF03057    cm        1       55  2314113  2314061      -    no    1 0.75   0.2   27.1   1.8e+02 !   Brevibacterium siliguriense strain DSM 23676 chromosome I
NZ_JNZG01000030.1    -         nhaA-I               RF03057    cm        1       55    58051    58143      +    no    1 0.72   0.4   27.1   1.8e+02 !   Streptomyces erythrochromogenes strain NRRL B-2112 contig26.1, whole genome shotgun sequence
NZ_CP011509.1        -         nhaA-I               RF03057    cm        1       55  8301294  8301219      -    no    1 0.68   0.0   27.1   1.9e+02 !   Archangium gephyra strain DSM 2261 chromosome, complete genome
JAAYEG010000056.1    -         nhaA-I               RF03057    cm        1       55    65168    65109      -    no    1 0.77   0.2   27.1   1.9e+02 !   Methanospirillum sp. isolate AS06rmzACSIP_74 549857_AS06, whole genome shotgun sequence
NZ_QOIN01000042.1    -         nhaA-I               RF03057    cm        1       55    80455    80518      +    no    1 0.80   4.7   27.1   1.9e+02 !   Candidatus Streptomyces philanthi strain LHW51701 NODE_6_length_367524_cov_12.6396_ID_11, whole genome shotgun sequence
DTHY01000519.1       -         nhaA-I               RF03057    cm        1       55     1189     1240      +    no    1 0.69   0.0   27.1   1.9e+02 !   TPA_asm: Actinobacteria bacterium isolate SpSt-797 Ga0123519_10075905, whole genome shotgun sequence
NZ_CP049935.1        -         nhaA-I               RF03057    cm        1       55   577255   577205      -    no    1 0.76   0.1   27.1   1.9e+02 !   Phycicoccus sp. HDW14 chromosome, complete genome
NZ_VFYR01000001.1    -         nhaA-I               RF03057    cm        1       55   644138   644188      +    no    1 0.69   0.0   27.1   1.9e+02 !   Brevibacterium sp. XM4083 NODE_1_length_1292640_cov_155.952269, whole genome shotgun sequence
JAFKJK010000011.1    -         nhaA-I               RF03057    cm        1       55    50215    50151      -    no    1 0.78   1.9   27.1   1.9e+02 !   Propionibacteriaceae bacterium isolate SCN18_26_2_15_R1_B_70_19 SCN18_26_2_15_R1_B_scaffold_137, whole genome shotgun sequence
NZ_JACHJI010000007.1 -         nhaA-I               RF03057    cm        1       55   242011   241975      -    no    1 0.73   0.0   27.1   1.9e+02 !   Streptomyces griseostramineus strain CECT 3273 Ga0436948_07, whole genome shotgun sequence
DLHI01000010.1       -         nhaA-I               RF03057    cm        1       55    45065    45126      +    no    1 0.73   0.1   27.1   1.9e+02 !   TPA_asm: Hyphomonadaceae bacterium UBA7672 UBA7672_contig_2844, whole genome shotgun sequence
JAACJQ010000131.1    -         nhaA-I               RF03057    cm        1       55    22052    22007      -    no    1 0.67   0.0   27.1   1.9e+02 !   Archangiaceae bacterium isolate LZH k87_159139, whole genome shotgun sequence
DTPP01000272.1       -         nhaA-I               RF03057    cm        1       55    35769    35722      -    no    1 0.81   0.5   27.1   1.9e+02 !   TPA_asm: Anaerolineae bacterium isolate SpSt-976 Ga0123519_10001511, whole genome shotgun sequence
NZ_FRBI01000004.1    -         nhaA-I               RF03057    cm        1       55     9340     9287      -    no    1 0.78   0.8   27.1   1.9e+02 !   Streptomyces paucisporeus strain CGMCC 4.2025, whole genome shotgun sequence
NZ_CP022111.1        -         nhaA-I               RF03057    cm        1       55  1882237  1882176      -    no    1 0.76   0.2   27.1   1.9e+02 !   Nitrospirillum amazonense CBAmc chromosome 2, complete sequence
NZ_JAFBFN010000006.1 -         nhaA-I               RF03057    cm        1       55   120893   120943      +    no    1 0.67   0.0   27.1   1.9e+02 !   Comamonas sediminis strain 4487 Ga0454195_06, whole genome shotgun sequence
NZ_VMSC01000001.1    -         nhaA-I               RF03057    cm        1       55  4260178  4260212      +    no    1 0.71   0.0   27.1   1.9e+02 !   Nocardioides sp. SAI-095 Ga0222408_11, whole genome shotgun sequence
NZ_LBHJ01000019.1    -         nhaA-I               RF03057    cm        1       55    60592    60645      +    no    1 0.78   1.1   27.1   1.9e+02 !   Silvibacterium bohemicum strain S15 contig_28, whole genome shotgun sequence
NZ_JACHNB010000001.1 -         nhaA-I               RF03057    cm        1       55  8099851  8099901      +    no    1 0.80   0.7   27.1   1.9e+02 !   Actinoplanes octamycinicus strain DSM 45809 Ga0104639_01, whole genome shotgun sequence
WNDY01000024.1       -         nhaA-I               RF03057    cm        1       55    21625    21576      -    no    1 0.72   0.0   27.1   1.9e+02 !   Xylophilus sp. isolate cluster_DBSCAN_round5_1 GAK38_24, whole genome shotgun sequence
NZ_VFMM01000001.1    -         nhaA-I               RF03057    cm        1       55  1867668  1867710      +    no    1 0.67   0.0   27.0   1.9e+02 !   Kribbella jejuensis strain DSM 17305 Ga0197573_11, whole genome shotgun sequence
NZ_CP029197.1        -         nhaA-I               RF03057    cm        1       55  3246658  3246702      +    no    1 0.82   0.6   27.0   1.9e+02 !   Streptomyces venezuelae ATCC 10712 chromosome, complete genome
NZ_FAOZ01000001.1    -         nhaA-I               RF03057    cm        1       55   478214   478265      +    no    1 0.75   1.4   27.0   1.9e+02 !   Frankia irregularis strain DSM 45899, whole genome shotgun sequence
NZ_CP028913.1        -         nhaA-I               RF03057    cm        1       55  2119596  2119517      -    no    1 0.74   0.7   27.0   1.9e+02 !   Agromyces badenianii strain MF30-A chromosome, complete genome
NZ_RFFI01000135.1    -         nhaA-I               RF03057    cm        1       55     7787     7723      -    no    1 0.68   0.0   27.0   1.9e+02 !   Cellulomonas sp. NEAU-YY56 Scaffold135, whole genome shotgun sequence
NZ_ARXR01000016.1    -         nhaA-I               RF03057    cm        1       55    34513    34465      -    no    1 0.78   0.1   27.0   1.9e+02 !   Alcanivorax venustensis ISO4 contig16, whole genome shotgun sequence
NZ_BBPO01000127.1    -         nhaA-I               RF03057    cm       28       55    14129    14103      -    no    2 0.85   0.1   27.0   1.9e+02 !   Streptacidiphilus neutrinimicus strain NBRC 100921, whole genome shotgun sequence
NZ_VZOV01000008.1    -         nhaA-I               RF03057    cm        1       55    12646    12708      +    no    1 0.73   0.0   27.0   1.9e+02 !   Cupriavidus gilardii strain CCUG 38401 contig_0000008, whole genome shotgun sequence
JADIYA010000001.1    -         nhaA-I               RF03057    cm        1       55   413300   413233      -    no    1 0.65   0.0   27.0   1.9e+02 !   Flavobacteriales bacterium isolate AalE_18-Q3-R2-46_BAT3C.189 tig00000646-10-10478310, whole genome shotgun sequence
NZ_CM001489.1        -         nhaA-I               RF03057    cm        1       55  1500430  1500485      +    no    1 0.71   0.0   27.0     2e+02 !   Frankia sp. QA3 chromosome, whole genome shotgun sequence
NZ_BMNC01000001.1    -         nhaA-I               RF03057    cm        1       55   432501   432556      +    no    1 0.73   0.0   27.0     2e+02 !   Lentzea pudingi strain CGMCC 4.7319 sequence01, whole genome shotgun sequence
DNJC01000111.1       -         nhaA-I               RF03057    cm        1       55     3739     3693      -    no    1 0.79   0.1   27.0     2e+02 !   TPA_asm: Geobacter sp. isolate UBA9964 contig_8314, whole genome shotgun sequence
NZ_JAGPUP010000563.1 -         nhaA-I               RF03057    cm        1       55   210765   210814      +    no    1 0.70   0.0   27.0     2e+02 !   Microvirga sp. HBU67558 contig2475, whole genome shotgun sequence
SCTX01000018.1       -         nhaA-I               RF03057    cm        1       55    22446    22477      +    no    1 0.88   1.2   27.0     2e+02 !   Betaproteobacteria bacterium isolate FW602_bin.10 FW602_bin.10-14053, whole genome shotgun sequence
JACIWP010000021.1    -         nhaA-I               RF03057    cm        1       55     6042     5975      -    no    1 0.74   1.0   27.0     2e+02 !   Anaerolineae bacterium isolate MAG-29 Anaerolineae_O3_bin15_Scaffold_21, whole genome shotgun sequence
NZ_WIXO01000001.1    -         nhaA-I               RF03057    cm        1       55  4600318  4600372      +    no    1 0.82   2.4   27.0     2e+02 !   Streptomyces taklimakanensis strain TRM43335 Contig00001, whole genome shotgun sequence
NZ_AVFK01000021.1    -         nhaA-I               RF03057    cm        1       55   112847   112768      -    no    1 0.68   0.0   27.0     2e+02 !   Skermanella aerolata KACC 11604 strain 5416T-32 contig24, whole genome shotgun sequence
NZ_VHIE01000002.1    -         nhaA-I               RF03057    cm        1       55  1321728  1321662      -    no    1 0.55   0.0   27.0     2e+02 !   Methylotuvimicrobium kenyense strain AMO IQ34DRAFT_unitig_0_quiver.2, whole genome shotgun sequence
CAIWOY010000086.1    -         nhaA-I               RF03057    cm        1       55    17814    17851      +    no    1 0.71   0.0   27.0     2e+02 !   uncultured Phycisphaerales bacterium isolate AlinenSedimentsCore3_bin-0378 genome assembly, contig: bin-0378:086/464, whole genome shotgun sequence
NZ_JZDQ02000013.1    -         nhaA-I               RF03057    cm        1       55    42715    42675      -    no    1 0.83   0.4   27.0     2e+02 !   Nocardioides luteus strain BAFB contig00013, whole genome shotgun sequence
NZ_CDBK01000014.1    -         nhaA-I               RF03057    cm        1       55   217013   217062      +    no    1 0.70   0.0   27.0     2e+02 !   Aeromonas caviae strain CECT 838, whole genome shotgun sequence
NZ_JACIDT010000001.1 -         nhaA-I               RF03057    cm        1       55    15748    15686      -    no    1 0.75   0.1   27.0     2e+02 !   Sphingobium jiangsuense strain DSM 26189 Ga0373239_01, whole genome shotgun sequence
NZ_AXVU01000028.1    -         nhaA-I               RF03057    cm        1       55    34154    34101      -    no    1 0.72   0.0   27.0     2e+02 !   Streptomyces sp. CNQ329 I003DRAFT_scaffold00027.27_C, whole genome shotgun sequence
NZ_SPQK01000012.1    -         nhaA-I               RF03057    cm        1       55   115150   115099      -    no    1 0.69   0.0   27.0     2e+02 !   Blastococcus sp. CT_GayMR16 NODE_12_length_147501_cov_93.521788, whole genome shotgun sequence
NZ_BNAR01000021.1    -         nhaA-I               RF03057    cm        1       55    64480    64418      -    no    1 0.76   0.5   27.0     2e+02 !   Lentzea cavernae strain CGMCC 4.7367 sequence21, whole genome shotgun sequence
NZ_BMRU01000018.1    -         nhaA-I               RF03057    cm        1       55   101865   101773      -    no    1 0.72   0.4   26.9     2e+02 !   Streptomyces cinnamonensis strain JCM 4019 sequence018, whole genome shotgun sequence
NZ_LT594323.1        -         nhaA-I               RF03057    cm        1       55  3331322  3331377      +    no    1 0.73   0.0   26.9     2e+02 !   Micromonospora auratinigra strain DSM 44815 chromosome I
JADJVQ010000012.1    -         nhaA-I               RF03057    cm        1       55   132437   132382      -    no    1 0.64   0.0   26.9     2e+02 !   Burkholderiaceae bacterium isolate Hjor_18-Q3-R7-51_BATAC.292 tig00006517-10-1495240, whole genome shotgun sequence
WGNY01000016.1       -         nhaA-I               RF03057    cm        1       55   111313   111251      -    no    1 0.71   0.0   26.9     2e+02 !   Phenylobacterium sp. isolate RI_411 c_000000060731, whole genome shotgun sequence
NZ_SCNN01000022.1    -         nhaA-I               RF03057    cm        1       55    65699    65643      -    no    1 0.75   0.1   26.9     2e+02 !   Mesorhizobium sp. 3P27G6 NODE_22_length_97903_cov_8.997515, whole genome shotgun sequence
NZ_AUHE01000011.1    -         nhaA-I               RF03057    cm        1       55    14434    14389      -    no    1 0.78   0.1   26.9     2e+02 !   Gordonia shandongensis DSM 45094 G528DRAFT_scaffold00010.10_C, whole genome shotgun sequence
PLHD01000061.1       -         nhaA-I               RF03057    cm        1       55    20315    20384      +    no    1 0.71   0.0   26.9     2e+02 !   Acidimicrobiaceae bacterium isolate bog_576 73.20110800_S2D.3_contig_6174, whole genome shotgun sequence
NZ_AP022618.1        -         nhaA-I               RF03057    cm        1       55  1383035  1382982      -    no    1 0.74   0.0   26.9     2e+02 !   Mycolicibacterium insubricum strain JCM 16366 chromosome
NZ_CP026952.1        -         nhaA-I               RF03057    cm        1       55  2542354  2542412      +    no    1 0.78   1.7   26.9     2e+02 !   Aeromicrobium chenweiae strain 592 chromosome, complete genome
DLKD01000121.1       -         nhaA-I               RF03057    cm        1       55    31238    31288      +    no    1 0.69   0.0   26.9     2e+02 !   TPA_asm: Gordonia sp. UBA7599 UBA7599_contig_589, whole genome shotgun sequence
NZ_VZZJ01000015.1    -         nhaA-I               RF03057    cm        1       55    45541    45595      +    no    1 0.76   0.8   26.9     2e+02 !   Methylobacterium sp. YIM 132548 Scaffold15, whole genome shotgun sequence
JAGWXN010000436.1    -         nhaA-I               RF03057    cm        1       55     1695     1745      +    no    1 0.65   0.0   26.9     2e+02 !   MAG: Betaproteobacteria bacterium isolate REEB468 contig-150_62591, whole genome shotgun sequence
NZ_CP014859.1        -         nhaA-I               RF03057    cm        1       55  5979180  5979237      +    no    1 0.72   0.1   26.9     2e+02 !   Actinoalloteichus hymeniacidonis strain HPA177(T) (=DSM 45092(T)) chromosome, complete genome
JACESY010000046.1    -         nhaA-I               RF03057    cm        1       55     7189     7239      +    no    1 0.65   0.0   26.9     2e+02 !   Azoarcus sp. isolate MCMED-G28 Azoarcus-MCMED-G28-C46, whole genome shotgun sequence
UQYG01000007.1       -         nhaA-I               RF03057    cm        1       55   141807   141863      +    no    1 0.72   0.0   26.9     2e+02 !   uncultured Sutterella sp. isolate UMGS757 genome assembly, contig: NODE_26_length_164126_cov_10.600606, whole genome shotgun sequence
NZ_JAATVU010000008.1 -         nhaA-I               RF03057    cm        1       55    43329    43267      -    no    1 0.76   0.7   26.9   2.1e+02 !   Mangrovicoccus sp. HB161399 scaffold8, whole genome shotgun sequence
VBIQ01000013.1       -         nhaA-I               RF03057    cm        1       55   187825   187781      -    no    1 0.82   1.0   26.9   2.1e+02 !   Chloroflexi bacterium isolate CF_134 14_0927_12_20cm_scaffold_20, whole genome shotgun sequence
NZ_CP023688.1        -         nhaA-I               RF03057    cm        1       55  6256903  6256866      -    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces rimosus strain ATCC 10970 chromosome, complete genome
NZ_QUAC01000424.1    -         nhaA-I               RF03057    cm        1       55     6355     6318      -    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces sp. NEAU-D10 C2989, whole genome shotgun sequence
NZ_JOFQ01000011.1    -         nhaA-I               RF03057    cm        1       55    63591    63628      +    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces niger strain NRRL B-3857 contig11.1, whole genome shotgun sequence
JOBC01000010.1       -         nhaA-I               RF03057    cm        1       55    60786    60823      +    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces sclerotialus strain NRRL ISP-5269 contig10.1, whole genome shotgun sequence
NZ_JNZA01000003.1    -         nhaA-I               RF03057    cm        1       55   119530   119567      +    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces lydicus strain NRRL ISP-5461 contig3.1, whole genome shotgun sequence
JOEL01000008.1       -         nhaA-I               RF03057    cm        1       55   106439   106476      +    no    1 0.82   0.2   26.9   2.1e+02 !   Streptomyces celluloflavus strain NRRL B-2493 contig8.1, whole genome shotgun sequence
NZ_JABJRA010000005.1 -         nhaA-I               RF03057    cm        1       55    29252    29307      +    no    1 0.75   0.1   26.9   2.1e+02 !   Nocardioides sp. zg-DK7169 Scaffold5_1, whole genome shotgun sequence
NZ_LMER01000020.1    -         nhaA-I               RF03057    cm        1       55   521685   521633      -    no    1 0.81   1.5   26.9   2.1e+02 !   Angustibacter sp. Root456 contig_9, whole genome shotgun sequence
REBY01000063.1       -         nhaA-I               RF03057    cm        1       55     1239     1275      +    no    1 0.70   0.0   26.9   2.1e+02 !   Pseudomonadaceae bacterium isolate LCM1.Bin50 NODE_40498_length_3618_cov_4.42745, whole genome shotgun sequence
VXWX01000077.1       -         nhaA-I               RF03057    cm        1       55      158      102      -    no    1 0.67   0.0   26.9   2.1e+02 !   Acidimicrobiaceae bacterium isolate SB0668_bin_28 NODE_1704_length_16038_cov_96.199775, whole genome shotgun sequence
SBGD01000058.1       -         nhaA-I               RF03057    cm        1       55    24114    24172      +    no    1 0.69   0.0   26.9   2.1e+02 !   Rhodobacteraceae bacterium isolate M0601 scaffold_95_1, whole genome shotgun sequence
NZ_JACCHQ010000012.1 -         nhaA-I               RF03057    cm        1       55    84623    84694      +    no    1 0.69   0.0   26.9   2.1e+02 !   Bradyrhizobium glycinis strain CNPSo 4016 scaffold_11, whole genome shotgun sequence
PMXR01000016.1       -         nhaA-I               RF03057    cm        1       55     7174     7224      +    no    1 0.69   0.0   26.9   2.1e+02 !   Chloroflexi bacterium isolate fen_1026 73.20110800_E1D.52_contig_11556, whole genome shotgun sequence
JAEURA010000227.1    -         nhaA-I               RF03057    cm        1       55    24560    24607      +    no    1 0.71   0.0   26.9   2.1e+02 !   Anaerolineae bacterium isolate new MAG-265 k141_555845, whole genome shotgun sequence
NZ_JPQD01000024.1    -         nhaA-I               RF03057    cm        1       55    78305    78234      -    no    1 0.74   0.1   26.9   2.1e+02 !   Massilia sp. JS1662 GAT24, whole genome shotgun sequence
VBKJ01000148.1       -         nhaA-I               RF03057    cm        1       55    13293    13329      +    no    1 0.86   1.8   26.9   2.1e+02 !   Deltaproteobacteria bacterium isolate DP_6 14_0929_02_40cm_scaffold_574, whole genome shotgun sequence
NZ_SOCP01000035.1    -         nhaA-I               RF03057    cm        1       55     4700     4754      +    no    1 0.78   0.4   26.9   2.1e+02 !   Actinophytocola oryzae strain DSM 45499 Ga0181036_135, whole genome shotgun sequence
NZ_CP040915.1        -         nhaA-I               RF03057    cm        1       55  1508121  1508188      +    no    1 0.72   0.2   26.9   2.1e+02 !   Georgenia sp. Z443 chromosome, complete genome
QWDA01000001.1       -         nhaA-I               RF03057    cm        1       55   510024   510092      +    no    1 0.71   0.2   26.9   2.1e+02 !   Rhodobacteraceae bacterium strain IMCC 34051 NODE_1_length_627177_cov_200.923225, whole genome shotgun sequence
NZ_NHSK01000128.1    -         nhaA-I               RF03057    cm        1       55    22475    22426      -    no    1 0.84   3.4   26.9   2.1e+02 !   Rhodoplanes elegans strain DSM 11907 scaffold0128, whole genome shotgun sequence
NZ_CP015596.1        -         nhaA-I               RF03057    cm        1       55  4017695  4017654      -    no    1 0.67   0.0   26.9   2.1e+02 !   Mycobacterium sp. YC-RL4 chromosome, complete genome
NZ_LT546170.1        -         nhaA-I               RF03057    cm        1       55   847827   847768      -    no    1 0.70   0.0   26.9   2.1e+02 !   Mycolicibacter icosiumassiliensis strain 8WA6, whole genome shotgun sequence
NZ_JAGPUP010000504.1 -         nhaA-I               RF03057    cm        1       55    27465    27400      -    no    1 0.62   0.0   26.9   2.1e+02 !   Microvirga sp. HBU67558 contig2357, whole genome shotgun sequence
JAEPNN010000001.1    -         nhaA-I               RF03057    cm        1       55   214960   215033      +    no    1 0.61   0.0   26.8   2.1e+02 !   MAG: Dinoroseobacter sp. isolate HXMU1420-12 k141_9524_length_583523_cov_169.0072, whole genome shotgun sequence
NZ_BDAV01000002.1    -         nhaA-I               RF03057    cm        1       55   270757   270699      -    no    1 0.71   0.0   26.8   2.1e+02 !   Nocardia africana NBRC 100379, whole genome shotgun sequence
NZ_CP022521.1        -         nhaA-I               RF03057    cm        1       55  4822465  4822512      +    no    1 0.79   0.2   26.8   2.1e+02 !   Actinoalloteichus hoggarensis strain DSM 45943 chromosome, complete genome
NC_013757.1          -         nhaA-I               RF03057    cm        1       55  3741185  3741130      -    no    1 0.77   0.1   26.8   2.1e+02 !   Geodermatophilus obscurus DSM 43160, complete sequence
NZ_BMMH01000024.1    -         nhaA-I               RF03057    cm        1       55    20544    20583      +    no    1 0.80   0.1   26.8   2.1e+02 !   Nocardia jinanensis strain CGMCC 4.3508 sequence24, whole genome shotgun sequence
DRKE01000251.1       -         nhaA-I               RF03057    cm        1       55     7164     7204      +    no    1 0.73   0.2   26.8   2.1e+02 !   TPA_asm: Deltaproteobacteria bacterium isolate HyVt-433 HyVt-433_k145_323223, whole genome shotgun sequence
NZ_NKUB01000031.1    -         nhaA-I               RF03057    cm        1       55     4032     4103      +    no    1 0.69   0.0   26.8   2.1e+02 !   Komagataeibacter swingsii strain LMG 22125 NODE_31_length_28704_cov_89.1519_ID_13118, whole genome shotgun sequence
NZ_CP047045.1        -         nhaA-I               RF03057    cm        1       55   794309   794250      -    no    1 0.68   0.0   26.8   2.1e+02 !   Terricaulis silvestris strain 0127_4 chromosome, complete genome
NZ_BCRN01000037.1    -         nhaA-I               RF03057    cm        1       55     1989     2047      +    no    1 0.73   0.0   26.8   2.2e+02 !   Millisia brevis NBRC 105863, whole genome shotgun sequence
SXJR01000472.1       -         nhaA-I               RF03057    cm        1       55    22864    22792      -    no    1 0.68   0.0   26.8   2.2e+02 !   Myxococcales bacterium isolate F1-120-MAGs089 F1-120__c694440, whole genome shotgun sequence
WGED01000377.1       -         nhaA-I               RF03057    cm        1       55      973     1019      +    no    1 0.60   0.0   26.8   2.2e+02 !   Cyclobacteriaceae bacterium isolate S146_16 k151_492865, whole genome shotgun sequence
NZ_JACADR010000438.1 -         nhaA-I               RF03057    cm        1       55      672      731      +    no    1 0.73   0.0   26.8   2.2e+02 !   Roseomonas sp. OP-27 438, whole genome shotgun sequence
DSVJ01000067.1       -         nhaA-I               RF03057    cm        1       55   154357   154307      -    no    1 0.69   0.0   26.8   2.2e+02 !   TPA_asm: Desulfobacteraceae bacterium isolate SpSt-501 Ga0101944_10000069, whole genome shotgun sequence
NZ_LNIY01000035.1    -         nhaA-I               RF03057    cm        1       55    69101    69050      -    no    1 0.73   0.0   26.8   2.2e+02 !   Caulobacter vibrioides strain T5M6 contig_13, whole genome shotgun sequence
NZ_JQNR01000002.1    -         nhaA-I               RF03057    cm        1       55    67730    67665      -    no    1 0.79   2.1   26.8   2.2e+02 !   Streptomyces yeochonensis CN732 BS72DRAFT_unitig_2_quiver.2_C, whole genome shotgun sequence
